Well	Well Name	Well Type	Replicate	Threshold (dRn)	Ct (dRn)	Quantity (copies)	RSq (dRn)	Slope (dRn)	
D4	12_MST231_5uL_  Qty or ID	Unknown	12	0.0409	No Ct	No Ct	0.955	-4.172	
D5	12_MST231_5uL_  Qty or ID	Unknown	12	0.0409	No Ct	No Ct	0.955	-4.172	
D6	12_MST231_5uL_  Qty or ID	Unknown	12	0.0409	No Ct	No Ct	0.955	-4.172	
E4	13_MST244_5uL_  Qty or ID	Unknown	13	0.0409	No Ct	No Ct	0.955	-4.172	
E5	13_MST244_5uL_  Qty or ID	Unknown	13	0.0409	No Ct	No Ct	0.955	-4.172	
E6	13_MST244_5uL_  Qty or ID	Unknown	13	0.0409	No Ct	No Ct	0.955	-4.172	
F4	14_MST257_5uL_  Qty or ID	Unknown	14	0.0409	No Ct	No Ct	0.955	-4.172	
F5	14_MST257_5uL_  Qty or ID	Unknown	14	0.0409	No Ct	No Ct	0.955	-4.172	
F6	14_MST257_5uL_  Qty or ID	Unknown	14	0.0409	No Ct	No Ct	0.955	-4.172	
G4	15_MST280_5uL_  Qty or ID	Unknown	15	0.0409	No Ct	No Ct	0.955	-4.172	
G5	15_MST280_5uL_  Qty or ID	Unknown	15	0.0409	48.11	5.463e-002	0.955	-4.172	
G6	15_MST280_5uL_  Qty or ID	Unknown	15	0.0409	No Ct	No Ct	0.955	-4.172	
H4	16_MST047_5uL_  Qty or ID	Unknown	16	0.0409	No Ct	No Ct	0.955	-4.172	
H5	16_MST047_5uL_  Qty or ID	Unknown	16	0.0409	No Ct	No Ct	0.955	-4.172	
H6	16_MST047_5uL_  Qty or ID	Unknown	16	0.0409	No Ct	No Ct	0.955	-4.172	
A7	17_MST059_5uL_  Qty or ID	Unknown	17	0.0409	32.91	2.404e+002	0.955	-4.172	
A8	17_MST059_5uL_  Qty or ID	Unknown	17	0.0409	32.88	2.432e+002	0.955	-4.172	
A9	17_MST059_5uL_  Qty or ID	Unknown	17	0.0409	32.13	3.695e+002	0.955	-4.172	
B7	18_MST061_5uL_  Qty or ID	Unknown	18	0.0409	No Ct	No Ct	0.955	-4.172	
B8	18_MST061_5uL_  Qty or ID	Unknown	18	0.0409	No Ct	No Ct	0.955	-4.172	
B9	18_MST061_5uL_  Qty or ID	Unknown	18	0.0409	No Ct	No Ct	0.955	-4.172	
C7	19_MST063_5uL_  Qty or ID	Unknown	19	0.0409	No Ct	No Ct	0.955	-4.172	
C8	19_MST063_5uL_  Qty or ID	Unknown	19	0.0409	No Ct	No Ct	0.955	-4.172	
C9	19_MST063_5uL_  Qty or ID	Unknown	19	0.0409	No Ct	No Ct	0.955	-4.172	
D7	20_MST070_5uL_  Qty or ID	Unknown	20	0.0409	No Ct	No Ct	0.955	-4.172	
D8	20_MST070_5uL_  Qty or ID	Unknown	20	0.0409	No Ct	No Ct	0.955	-4.172	
D9	20_MST070_5uL_  Qty or ID	Unknown	20	0.0409	No Ct	No Ct	0.955	-4.172	
E7	21_MST092_5uL_  Qty or ID	Unknown	21	0.0409	No Ct	No Ct	0.955	-4.172	
E8	21_MST092_5uL_  Qty or ID	Unknown	21	0.0409	No Ct	No Ct	0.955	-4.172	
E9	21_MST092_5uL_  Qty or ID	Unknown	21	0.0409	No Ct	No Ct	0.955	-4.172	
F7	22_MST100_5uL_  Qty or ID	Unknown	22	0.0409	No Ct	No Ct	0.955	-4.172	
F8	22_MST100_5uL_  Qty or ID	Unknown	22	0.0409	No Ct	No Ct	0.955	-4.172	
F9	22_MST100_5uL_  Qty or ID	Unknown	22	0.0409	No Ct	No Ct	0.955	-4.172	
G7	23_MST107_5uL_  Qty or ID	Unknown	23	0.0409	No Ct	No Ct	0.955	-4.172	
G8	23_MST107_5uL_  Qty or ID	Unknown	23	0.0409	No Ct	No Ct	0.955	-4.172	
G9	23_MST107_5uL_  Qty or ID	Unknown	23	0.0409	No Ct	No Ct	0.955	-4.172	
H7	24_MST115_5uL_  Qty or ID	Unknown	24	0.0409	No Ct	No Ct	0.955	-4.172	
H8	24_MST115_5uL_  Qty or ID	Unknown	24	0.0409	No Ct	No Ct	0.955	-4.172	
H9	24_MST115_5uL_  Qty or ID	Unknown	24	0.0409	No Ct	No Ct	0.955	-4.172	
A10	25_MST126_5uL_  Qty or ID	Unknown	25	0.0409	No Ct	No Ct	0.955	-4.172	
A11	25_MST126_5uL_  Qty or ID	Unknown	25	0.0409	No Ct	No Ct	0.955	-4.172	
A12	25_MST126_5uL_  Qty or ID	Unknown	25	0.0409	48.04	5.660e-002	0.955	-4.172	
B10	26_MST223_5uL_  Qty or ID	Unknown	26	0.0409	No Ct	No Ct	0.955	-4.172	
B11	26_MST223_5uL_  Qty or ID	Unknown	26	0.0409	No Ct	No Ct	0.955	-4.172	
B12	26_MST223_5uL_  Qty or ID	Unknown	26	0.0409	No Ct	No Ct	0.955	-4.172	
C10	27_MST229_5uL_  Qty or ID	Unknown	27	0.0409	No Ct	No Ct	0.955	-4.172	
C11	27_MST229_5uL_  Qty or ID	Unknown	27	0.0409	No Ct	No Ct	0.955	-4.172	
C12	27_MST229_5uL_  Qty or ID	Unknown	27	0.0409	No Ct	No Ct	0.955	-4.172	
