ScientificName;AphiaID;Synonym;SynonymID;Kingdom;Phylum;Class;Order;Family;Genus;locality;locationID;higherGeography;higherGeographyID;recordStatus;typeStatus;establishmentMeans;invasiveness;occurrence;decimalLatitude;decimalLongitude;qualityStatus
Serpula lobata;331853;Serpula lobata;331853;Animalia;Annelida;Polychaeta;Sabellida;Serpulidae;Serpula;United Kingdom Exclusive Economic Zone;http://marineregions.org/mrgid/5696;NA;NA;valid;holotype;NA;NA;NA;NA;NA;checked
Serpula lucida;338689;Serpula lucida;338689;Animalia;Annelida;Polychaeta;Sabellida;Serpulidae;Serpula;United Kingdom Exclusive Economic Zone;http://marineregions.org/mrgid/5696;NA;NA;valid;holotype;NA;NA;NA;NA;NA;checked
Serpula minuta;331860;Serpula minuta;331860;Animalia;Annelida;Polychaeta;Sabellida;Serpulidae;Serpula;United Kingdom Exclusive Economic Zone;http://marineregions.org/mrgid/5696;NA;NA;valid;holotype;NA;NA;NA;NA;NA;checked
Serpula montagui;331861;Serpula montagui;331861;Animalia;Annelida;Polychaeta;Sabellida;Serpulidae;Serpula;United Kingdom;http://marineregions.org/mrgid/2208;NA;NA;valid;holotype;NA;NA;NA;NA;NA;checked
Serpula muricata;331862;Serpula muricata;331862;Animalia;Annelida;Polychaeta;Sabellida;Serpulidae;Serpula;United Kingdom Exclusive Economic Zone;http://marineregions.org/mrgid/5696;NA;NA;valid;holotype;NA;NA;NA;NA;NA;checked
Serpula porrecta;338128;Serpula porrecta;338128;Animalia;Annelida;Polychaeta;Sabellida;Serpulidae;Serpula;North Sea;http://marineregions.org/mrgid/2350;NA;NA;valid;holotype;NA;NA;NA;NA;NA;checked
Serpula pusilla;737178;Serpula pusilla;737178;Animalia;Annelida;Polychaeta;Sabellida;Serpulidae;Serpula;Germany;http://marineregions.org/mrgid/2101;NA;NA;valid;holotype;NA;NA;NA;NA;NA;checked
Serpula quadrata;331879;Serpula quadrata;331879;Animalia;Annelida;Polychaeta;Sabellida;Serpulidae;Serpula;Germany;http://marineregions.org/mrgid/2101;NA;NA;valid;holotype;NA;NA;NA;NA;NA;checked
Serpula reversa;338132;Serpula reversa;338132;Animalia;Annelida;Polychaeta;Sabellida;Serpulidae;Serpula;United Kingdom Exclusive Economic Zone;http://marineregions.org/mrgid/5696;NA;NA;valid;holotype;NA;NA;NA;NA;NA;checked
Serpula roessleri;737179;Serpula roessleri;737179;Animalia;Annelida;Polychaeta;Sabellida;Serpulidae;Serpula;Germany;http://marineregions.org/mrgid/2101;NA;NA;valid;holotype;NA;NA;NA;NA;NA;checked
Serpula serrulata;338134;Serpula serrulata;338134;Animalia;Annelida;Polychaeta;Sabellida;Serpulidae;Serpula;United Kingdom Exclusive Economic Zone;http://marineregions.org/mrgid/5696;NA;NA;valid;holotype;NA;NA;NA;NA;NA;checked
Serpula sinistrorsa;340021;Serpula sinistrorsa;340021;Animalia;Annelida;Polychaeta;Sabellida;Serpulidae;Serpula;United Kingdom Exclusive Economic Zone;http://marineregions.org/mrgid/5696;NA;NA;valid;holotype;NA;NA;NA;NA;NA;checked
Serpula sulcata;340020;Serpula sulcata;340020;Animalia;Annelida;Polychaeta;Sabellida;Serpulidae;Serpula;United Kingdom Exclusive Economic Zone;http://marineregions.org/mrgid/5696;NA;NA;valid;holotype;NA;NA;NA;NA;NA;checked
Serpula vermicularis;381915;Serpula vermicularis;381915;Animalia;Annelida;Polychaeta;Sabellida;Serpulidae;Serpula;Belgian Exclusive Economic Zone;http://marineregions.org/mrgid/3293;North Sea;http://marineregions.org/mrgid/2350;valid;NA;NA;NA;NA;NA;NA;unreviewed
Serpula vermicularis;131051;Serpula vermicularis;131051;Animalia;Annelida;Polychaeta;Sabellida;Serpulidae;Serpula;North Sea;http://marineregions.org/mrgid/2350;North Sea;http://marineregions.org/mrgid/2350;valid;NA;NA;NA;NA;NA;NA;unreviewed
Spirobranchus lamarcki;560033;Pomatoceros lamarcki;152358;Animalia;Annelida;Polychaeta;Sabellida;Serpulidae;Spirobranchus;Belgian Exclusive Economic Zone;http://marineregions.org/mrgid/3293;Belgium;http://marineregions.org/mrgid/14;valid;NA;NA;NA;NA;NA;NA;trusted
Spirobranchus triqueter;555935;Pomatoceros triqueter;131027;Animalia;Annelida;Polychaeta;Sabellida;Serpulidae;Spirobranchus;North Sea;http://marineregions.org/mrgid/2350;North Sea;http://marineregions.org/mrgid/2350;valid;NA;NA;NA;NA;NA;NA;unreviewed
Spirorbis (Spirorbis) corallinae;334839;Spirorbis (Laeospira) corallinae;337067;Animalia;Annelida;Polychaeta;Sabellida;Serpulidae;Spirorbis;United Kingdom Exclusive Economic Zone;http://marineregions.org/mrgid/5696;NA;NA;valid;holotype;NA;NA;NA;NA;NA;checked
Spirorbis (Spirorbis) cuneatus;747456;Spirorbis cuneatus;131225;Animalia;Annelida;Polychaeta;Sabellida;Serpulidae;Spirorbis;United Kingdom Exclusive Economic Zone;http://marineregions.org/mrgid/5696;NA;NA;valid;holotype;NA;NA;NA;NA;NA;checked
Triditrupa tricostata;489068;Dentalium tricostatum;467847;Animalia;Annelida;Polychaeta;Sabellida;Serpulidae;Triditrupa;Germany;http://marineregions.org/mrgid/48115;NA;NA;valid;holotype;NA;NA;NA;NA;NA;checked
Vermilia armata;338282;Vermilia armata;338282;Animalia;Annelida;Polychaeta;Sabellida;Serpulidae;Vermilia;United Kingdom Exclusive Economic Zone;http://marineregions.org/mrgid/5696;NA;NA;valid;holotype;NA;NA;NA;NA;NA;checked
Vermilia conica;332817;Vermilia conica;332817;Animalia;Annelida;Polychaeta;Sabellida;Serpulidae;Vermilia;United Kingdom Exclusive Economic Zone;http://marineregions.org/mrgid/5696;NA;NA;valid;holotype;NA;NA;NA;NA;NA;checked
Vermilia serrulata;338309;Vermilia serrulata;338309;Animalia;Annelida;Polychaeta;Sabellida;Serpulidae;Vermilia;United Kingdom Exclusive Economic Zone;http://marineregions.org/mrgid/5696;NA;NA;valid;holotype;NA;NA;NA;NA;NA;checked
Aonides oxycephala;131106;Aonides oxycephala;131106;Animalia;Annelida;Polychaeta;Spionida;Spionidae;Aonides;Belgian Exclusive Economic Zone;http://marineregions.org/mrgid/3293;Belgium;http://marineregions.org/mrgid/14;valid;NA;NA;NA;NA;NA;NA;unreviewed
Aonides paucibranchiata;131107;Aonides paucibranchiata;131107;Animalia;Annelida;Polychaeta;Spionida;Spionidae;Aonides;Belgian Exclusive Economic Zone;http://marineregions.org/mrgid/3293;North Sea;http://marineregions.org/mrgid/2350;valid;NA;NA;NA;NA;NA;NA;unreviewed
Boccardia proboscidea;327249;Boccardia proboscidea;327249;Animalia;Annelida;Polychaeta;Spionida;Spionidae;Boccardia;United Kingdom part of the Inner Seas off the West Coast of Scotland;http://marineregions.org/mrgid/25178;Inner Seas off the West Coast of Scotland;http://marineregions.org/mrgid/4283;valid;NA;Alien;Not specified;Reported;NA;NA;trusted
Boccardia semibranchiata;131113;Boccardia semibranchiata;131113;Animalia;Annelida;Polychaeta;Spionida;Spionidae;Boccardia;Atlantic Europe;http://marineregions.org/mrgid/9230;NA;NA;valid;NA;Alien;NA;NA;NA;NA;unreviewed
Boccardiella ligerica;131114;Boccardiella ligerica;131114;Animalia;Annelida;Polychaeta;Spionida;Spionidae;Boccardiella;Dutch part of the North Sea;http://marineregions.org/mrgid/25232;North Sea;http://marineregions.org/mrgid/2350;valid;NA;Alien;Uncertain;Reported;NA;NA;trusted
Dipolydora caulleryi;131116;Polydora carazzi;338508;Animalia;Annelida;Polychaeta;Spionida;Spionidae;Dipolydora;United Kingdom Exclusive Economic Zone;http://marineregions.org/mrgid/5696;NA;NA;valid;holotype;NA;NA;NA;NA;NA;checked
Dipolydora coeca;131117;Dipolydora coeca;131117;Animalia;Annelida;Polychaeta;Spionida;Spionidae;Dipolydora;Belgian Exclusive Economic Zone;http://marineregions.org/mrgid/3293;Belgium;http://marineregions.org/mrgid/14;valid;NA;NA;NA;NA;NA;NA;unreviewed
Dipolydora quadrilobata;131121;Polydora (Polydora) quadrilobata;152360;Animalia;Annelida;Polychaeta;Spionida;Spionidae;Dipolydora;Belgian Exclusive Economic Zone;http://marineregions.org/mrgid/3293;North Sea;http://marineregions.org/mrgid/2350;doubtful;NA;NA;NA;NA;NA;NA;unreviewed
Malacoceros fuliginosa;333952;Malacoceros fuliginosa;333952;Animalia;Annelida;Polychaeta;Spionida;Spionidae;Malacoceros;Belgian Exclusive Economic Zone;http://marineregions.org/mrgid/3293;North Sea;http://marineregions.org/mrgid/2350;valid;NA;NA;NA;NA;NA;NA;unreviewed
Malacoceros fuliginosus;131131;Malacoceros fuliginosus;131131;Animalia;Annelida;Polychaeta;Spionida;Spionidae;Malacoceros;Belgian Exclusive Economic Zone;http://marineregions.org/mrgid/3293;Belgium;http://marineregions.org/mrgid/14;valid;NA;NA;NA;NA;NA;NA;unreviewed
Malacoceros tetracerus;333954;Scolelepis ciliata;155543;Animalia;Annelida;Polychaeta;Spionida;Spionidae;Malacoceros;North Sea;http://marineregions.org/mrgid/2350;North Sea;http://marineregions.org/mrgid/2350;valid;NA;NA;NA;NA;55.3300018310547;3;unreviewed
Malacoceros vulgaris;131134;Malacoceros vulgaris;131134;Animalia;Annelida;Polychaeta;Spionida;Spionidae;Malacoceros;Belgian Exclusive Economic Zone;http://marineregions.org/mrgid/3293;Belgium;http://marineregions.org/mrgid/14;valid;NA;NA;NA;NA;NA;NA;unreviewed
Marenzelleria neglecta;181523;Marenzelleria neglecta;181523;Animalia;Annelida;Polychaeta;Spionida;Spionidae;Marenzelleria;Germany;http://marineregions.org/mrgid/2101;Germany;http://marineregions.org/mrgid/2101;valid;NA;Alien;Uncertain;Reported;NA;NA;trusted
Marenzelleria viridis;131135;Marenzelleria viridis;131135;Animalia;Annelida;Polychaeta;Spionida;Spionidae;Marenzelleria;Belgian Exclusive Economic Zone;http://marineregions.org/mrgid/3293;Belgium;http://marineregions.org/mrgid/14;valid;NA;NA;NA;NA;NA;NA;unreviewed
Polydora antennata;224519;Polydora antennata;224519;Animalia;Annelida;Polychaeta;Spionida;Spionidae;Polydora;Belgian Exclusive Economic Zone;http://marineregions.org/mrgid/3293;North Sea;http://marineregions.org/mrgid/2350;valid;NA;NA;NA;NA;NA;NA;unreviewed
Polydora caeca;146933;Polydora caeca;146933;Animalia;Annelida;Polychaeta;Spionida;Spionidae;Polydora;Belgian Exclusive Economic Zone;http://marineregions.org/mrgid/3293;North Sea;http://marineregions.org/mrgid/2350;valid;NA;NA;NA;NA;NA;NA;unreviewed
Polydora carazzi;338508;Polydora carazzi;338508;Animalia;Annelida;Polychaeta;Spionida;Spionidae;Polydora;United Kingdom Exclusive Economic Zone;http://marineregions.org/mrgid/5696;NA;NA;valid;holotype;NA;NA;NA;NA;NA;checked
Polydora ciliata;131141;Polydora ciliata;131141;Animalia;Annelida;Polychaeta;Spionida;Spionidae;Polydora;North Sea;http://marineregions.org/mrgid/2350;North Sea;http://marineregions.org/mrgid/2350;valid;NA;NA;NA;NA;NA;NA;unreviewed
Polydora cornuta;131143;Polydora cornuta;131143;Animalia;Annelida;Polychaeta;Spionida;Spionidae;Polydora;Belgian Exclusive Economic Zone;http://marineregions.org/mrgid/3293;North Sea;http://marineregions.org/mrgid/2350;valid;NA;NA;NA;NA;NA;NA;unreviewed
Polydora hoplura;131146;Polydora hoplura;131146;Animalia;Annelida;Polychaeta;Spionida;Spionidae;Polydora;Belgian Exclusive Economic Zone;http://marineregions.org/mrgid/3293;Belgium;http://marineregions.org/mrgid/14;valid;NA;NA;NA;NA;NA;NA;unreviewed
Polydora ligni;152351;Polydora ligni;152351;Animalia;Annelida;Polychaeta;Spionida;Spionidae;Polydora;Belgian Exclusive Economic Zone;http://marineregions.org/mrgid/3293;North Sea;http://marineregions.org/mrgid/2350;valid;NA;NA;NA;NA;NA;NA;unreviewed
Polydora pulchra;131149;Polydora pulchra;131149;Animalia;Annelida;Polychaeta;Spionida;Spionidae;Polydora;Belgian Exclusive Economic Zone;http://marineregions.org/mrgid/3293;North Sea;http://marineregions.org/mrgid/2350;valid;NA;NA;NA;NA;NA;NA;unreviewed
Prionospio multibranchiata;131160;Prionospio multibranchiata;131160;Animalia;Annelida;Polychaeta;Spionida;Spionidae;Prionospio;North Sea;http://marineregions.org/mrgid/2350;North Sea;http://marineregions.org/mrgid/2350;valid;NA;NA;NA;NA;NA;NA;unreviewed
Prionospio steenstrupi;131164;Prionospio steenstrupi;131164;Animalia;Annelida;Polychaeta;Spionida;Spionidae;Prionospio;Belgian Exclusive Economic Zone;http://marineregions.org/mrgid/3293;North Sea;http://marineregions.org/mrgid/2350;doubtful;NA;NA;NA;NA;NA;NA;unreviewed
Pseudopolydora antennata;131166;Pseudopolydora antennata;131166;Animalia;Annelida;Polychaeta;Spionida;Spionidae;Pseudopolydora;Belgian Exclusive Economic Zone;http://marineregions.org/mrgid/3293;North Sea;http://marineregions.org/mrgid/2350;valid;NA;NA;NA;NA;NA;NA;trusted
