Well;replno;smpltp;templvol;QtyID;WellType;Replicate;ThresholddRn;CtdRn;Quantitycopies;RSqdRn;SlopedRn;qpcrno;MONISprojectno;AssayID;speciesabbr;plateno;qpcrrundate
G5;15;MST-2022-076STEX26-15;3uL;QtyorID;Unknown;15;0.0066;49.55;4.748e-002;0.845;-4.567;qpcr1000;MONIS6MST2022;AssID28;Homame;plt01;qpcrrundate20230913
G6;15;MST-2022-076STEX26-15;3uL;QtyorID;Unknown;15;0.0066;49.83;4.116e-002;0.845;-4.567;qpcr1000;MONIS6MST2022;AssID28;Homame;plt01;qpcrrundate20230913
H4;16;MST-2021-098STEX26-17;3uL;QtyorID;Unknown;16;0.0066;NoCt;NoCt;0.845;-4.567;qpcr1000;MONIS6MST2022;AssID28;Homame;plt01;qpcrrundate20230913
H5;16;MST-2021-098STEX26-17;3uL;QtyorID;Unknown;16;0.0066;NoCt;NoCt;0.845;-4.567;qpcr1000;MONIS6MST2022;AssID28;Homame;plt01;qpcrrundate20230913
H6;16;MST-2021-098STEX26-17;3uL;QtyorID;Unknown;16;0.0066;NoCt;NoCt;0.845;-4.567;qpcr1000;MONIS6MST2022;AssID28;Homame;plt01;qpcrrundate20230913
A7;17;MST-2021-011STEX26-19;3uL;QtyorID;Unknown;17;0.0066;NoCt;NoCt;0.845;-4.567;qpcr1000;MONIS6MST2022;AssID28;Homame;plt01;qpcrrundate20230913
A8;17;MST-2021-011STEX26-19;3uL;QtyorID;Unknown;17;0.0066;NoCt;NoCt;0.845;-4.567;qpcr1000;MONIS6MST2022;AssID28;Homame;plt01;qpcrrundate20230913
A9;17;MST-2021-011STEX26-19;3uL;QtyorID;Unknown;17;0.0066;NoCt;NoCt;0.845;-4.567;qpcr1000;MONIS6MST2022;AssID28;Homame;plt01;qpcrrundate20230913
B7;18;MST-2021-021STEX26-14;3uL;QtyorID;Unknown;18;0.0066;NoCt;NoCt;0.845;-4.567;qpcr1000;MONIS6MST2022;AssID28;Homame;plt01;qpcrrundate20230913
B8;18;MST-2021-021STEX26-14;3uL;QtyorID;Unknown;18;0.0066;NoCt;NoCt;0.845;-4.567;qpcr1000;MONIS6MST2022;AssID28;Homame;plt01;qpcrrundate20230913
B9;18;MST-2021-021STEX26-14;3uL;QtyorID;Unknown;18;0.0066;NoCt;NoCt;0.845;-4.567;qpcr1000;MONIS6MST2022;AssID28;Homame;plt01;qpcrrundate20230913
C7;19;MST-2021-014STEX26-03;3uL;QtyorID;Unknown;19;0.0066;NoCt;NoCt;0.845;-4.567;qpcr1000;MONIS6MST2022;AssID28;Homame;plt01;qpcrrundate20230913
C8;19;MST-2021-014STEX26-03;3uL;QtyorID;Unknown;19;0.0066;NoCt;NoCt;0.845;-4.567;qpcr1000;MONIS6MST2022;AssID28;Homame;plt01;qpcrrundate20230913
C9;19;MST-2021-014STEX26-03;3uL;QtyorID;Unknown;19;0.0066;NoCt;NoCt;0.845;-4.567;qpcr1000;MONIS6MST2022;AssID28;Homame;plt01;qpcrrundate20230913
