"MST.nummer";"dato indsamlet";"lokalitet_vanda";"volumen vand filtreret (mL)";"breddegrad";"længdegrad"
"MST0512_2020-06-03";"2020-06-03";99000049;"1450";55.25;15.59
"MST0558_2020-06-04";"2020-06-04";95220322;"1550";55.1248;11.5335
"MST0501_2020-06-04";"2020-06-04";93220011;"1600";55.713;12.04
"MST0447_2020-06-08";"2020-06-08";94230001;"1300";55.4783;10.5169
"MST0395_2020-06-10";"2020-06-10";99000052;"1600";55.0002;13.3
"MST0385_2020-06-10";"2020-06-10";93410113;"1600";56.1961;10.7535
"MST0510_2020-06-10";"2020-06-10";93920064;"1050";57.5408;10.4688
"MST0267_2020-06-16";"2020-06-16";97200002;"1500";55.9375;12.519
"MST0350_2020-06-17";"2020-06-17";91650035;"700";55.0936;8.5672
"MST0552_2020-06-25";"2020-06-25";99000052;"900";55.0002;13.3
"MST0522_2020-07-28";"2020-07-28";99150002;"1601";55.0153;14.9016
"MST0435_2020-08-03";"2020-08-03";96220363;"ukendt";55.1616;11.6516
"MST1005_2020-08-03";"2020-08-03";93000005;"1800";56.8568;10.7848
"MST1003_2020-08-03";"2020-08-03";93000005;"1800";56.8568;10.7848
"MST1010_2020-08-04";"2020-08-04";93610032;"1550";56.6628;9.9678
"MST1013_2020-08-05";"2020-08-05";93730002;"1550";56.9573;9.0521
"MST1002_2020-08-06";"2020-08-06";93740007;"1150";56.6207;9.0679
"MST1051_2020-08-10";"2020-08-10";95600002;"1450";54.9979;10.1516
"MST1049_2020-08-13";"2020-08-13";94300001;"1400";55.675;10.0835
"MST1016_2020-08-18";"2020-08-18";94400007;"1200";56.1551;10.3194
"MST0147_2020-08-18";"2020-08-18";93220011;"1600";55.713;12.04
"MST0356_2020-08-25";"2020-08-25";91500007;"1050";55.3376;8.3501
"MST1052_2020-08-26";"2020-08-26";93420310;"950";56.4436;10.9523
"MST0547_2020-08-31";"2020-08-31";97200002;"1650";55.862;12.75
"MST1023_2020-08-31";"2020-08-31";94230001;"1400";55.4782;10.5169
"MST0459_2020-09-01";"2020-09-01";94300001;"1550";56.1318;11.1501
"MST0406_2020-09-03";"2020-09-03";99000052;"1550";55.0002;13.3
"MST0439_2020-09-15";"2020-09-15";99210007;"1500";54.7395;12.0861
"MST0364_2020-09-15";"2020-09-15";91320001;"760";56.0778;8.2168
"MST1006_2020-09-23";"2020-09-23";98210012;"1500";54.7351;11.0836
"MST0452_2020-09-29";"2020-09-29";92200001;"1400";57.6078;9.9003
"MST0504_2020-09-29";"2020-09-29";92200001;"1600";57.6078;9.9003
"MST1028_2021-03-15";"2021-03-15";95700008;"1600";54.8342;9.8167
