"MST.nummer";"dato indsamlet";"lokalitet_vanda";"latinsk artsnavn";"sæson";"år"
"MST2023001_2023-08-21";"2023-08-21";93740007;"Mnemiopsis leidyi";"jul-nov";"2023"
"MST2023010_2023-08-02";"2023-08-02";99000052;"Mnemiopsis leidyi";"jul-nov";"2023"
"MST2023015_2023-08-04";"2023-08-04";93000001;"Mnemiopsis leidyi";"jul-nov";"2023"
"MST2023019_2023-08-25";"2023-08-25";99000049;"Mnemiopsis leidyi";"jul-nov";"2023"
"MST2023033_2023-08-11";"2023-08-11";95600002;"Mnemiopsis leidyi";"jul-nov";"2023"
"MST2023050_2023-10-03";"2023-10-03";96420199;"Mnemiopsis leidyi";"jul-nov";"2023"
"MST2023055_2023-08-01";"2023-08-01";94300001;"Mnemiopsis leidyi";"jul-nov";"2023"
"MST2023058_2023-08-03";"2023-08-03";93000005;"Mnemiopsis leidyi";"jul-nov";"2023"
"MST2023061_2023-08-11";"2023-08-11";94400007;"Mnemiopsis leidyi";"jul-nov";"2023"
"MST2023066_2023-08-21";"2023-08-21";93730002;"Mnemiopsis leidyi";"jul-nov";"2023"
"MST2023074_2023-08-10";"2023-08-10";93610032;"Mnemiopsis leidyi";"jul-nov";"2023"
"MST2023076_2023-08-03";"2023-08-03";97200002;"Mnemiopsis leidyi";"jul-nov";"2023"
"MST2023081_2023-10-02";"2023-10-02";99210007;"Mnemiopsis leidyi";"jul-nov";"2023"
"MST2023082_2023-10-04";"2023-10-04";93220011;"Mnemiopsis leidyi";"jul-nov";"2023"
"MST2023084_2023-10-09";"2023-10-09";91320001;"Mnemiopsis leidyi";"jul-nov";"2023"
"MST2023096_2023-08-18";"2023-08-18";93420310;"Mnemiopsis leidyi";"jul-nov";"2023"
"MST2023111_2023-08-12";"2023-08-12";91500007;"Mnemiopsis leidyi";"jul-nov";"2023"
"MST2023117_2023-09-11";"2023-09-11";94230001;"Mnemiopsis leidyi";"jul-nov";"2023"
"MST0019_2017-09-12";"2017-09-12";93740007;"Mya arenaria";"jul-nov";"2017"
"MST0048_2017-10-09";"2017-10-09";94230001;"Mya arenaria";"jul-nov";"2017"
"MST0118_2017-09-19";"2017-09-19";91320001;"Mya arenaria";"jul-nov";"2017"
"MST0055_2018-04-24";"2018-04-24";96510125;"Mya arenaria";"jan-jun";"2018"
"MST0059_2018-04-05";"2018-04-05";95130028;"Mya arenaria";"jan-jun";"2018"
"MST0061_2018-05-28";"2018-05-28";94510035;"Mya arenaria";"jan-jun";"2018"
"MST0067_2018-03-21";"2018-03-21";95700008;"Mya arenaria";"jan-jun";"2018"
"MST0074_2018-06-11";"2018-06-11";93610032;"Mya arenaria";"jan-jun";"2018"
"MST0076_2018-06-06";"2018-06-06";93730002;"Mya arenaria";"jan-jun";"2018"
"MST0088_2018-06-07";"2018-06-07";93740007;"Mya arenaria";"jan-jun";"2018"
"MST0092_2018-05-15";"2018-05-15";93000001;"Mya arenaria";"jan-jun";"2018"
"MST0097_2018-04-18";"2018-04-18";95220322;"Mya arenaria";"jan-jun";"2018"
"MST0107_2018-07-06";"2018-07-06";96220363;"Mya arenaria";"jan-jun";"2018"
"MST0115_2018-05-15";"2018-05-15";91320001;"Mya arenaria";"jan-jun";"2018"
"MST0126_2018-05-25";"2018-05-25";91650035;"Mya arenaria";"jan-jun";"2018"
"MST0152_2018-06-04";"2018-06-04";94230001;"Mya arenaria";"jan-jun";"2018"
"MST0229_2018-05-16";"2018-05-16";94300001;"Mya arenaria";"jan-jun";"2018"
"MST0230_2018-06-27";"2018-06-27";97230016;"Mya arenaria";"jan-jun";"2018"
"MST0284_2018-04-03";"2018-04-03";93210013;"Mya arenaria";"jan-jun";"2018"
"MST0286_2018-05-15";"2018-05-15";91500007;"Mya arenaria";"jan-jun";"2018"
"MST0141_2018-08-16";"2018-08-16";93220011;"Mya arenaria";"jul-nov";"2018"
"MST0220_2018-08-30";"2018-08-30";93740007;"Mya arenaria";"jul-nov";"2018"
"MST0237_2018-09-10";"2018-09-10";94230001;"Mya arenaria";"jul-nov";"2018"
"MST0244_2018-08-28";"2018-08-28";95600002;"Mya arenaria";"jul-nov";"2018"
"MST0158_2019-06-25";"2019-06-25";97200002;"Mya arenaria";"jan-jun";"2019"
"MST0164_2019-05-13";"2019-05-13";93730002;"Mya arenaria";"jan-jun";"2019"
"MST0170_2019-05-14";"2019-05-14";93740007;"Mya arenaria";"jan-jun";"2019"
"MST0177_2019-06-04";"2019-06-04";95600002;"Mya arenaria";"jan-jun";"2019"
"MST0179_2019-06-11";"2019-06-11";94400007;"Mya arenaria";"jan-jun";"2019"
"MST0182_2019-06-12";"2019-06-12";94300001;"Mya arenaria";"jan-jun";"2019"
"MST0183_2019-05-23";"2019-05-23";97200002;"Mya arenaria";"jan-jun";"2019"
"MST0185_2019-05-22";"2019-05-22";93610032;"Mya arenaria";"jan-jun";"2019"
"MST0189_2019-05-28";"2019-05-28";94300001;"Mya arenaria";"jan-jun";"2019"
"MST0191_2019-03-22";"2019-03-22";95220322;"Mya arenaria";"jan-jun";"2019"
"MST0203_2019-05-08";"2019-05-08";96100043;"Mya arenaria";"jan-jun";"2019"
"MST0215_2019-03-22";"2019-03-22";95220322;"Mya arenaria";"jan-jun";"2019"
"MST0252_2019-04-29";"2019-04-29";96120002;"Mya arenaria";"jan-jun";"2019"
"MST0266_2019-03-07";"2019-03-07";96510125;"Mya arenaria";"jan-jun";"2019"
"MST0278_2019-03-14";"2019-03-14";95130028;"Mya arenaria";"jan-jun";"2019"
"MST0282_2019-03-14";"2019-03-14";95130028;"Mya arenaria";"jan-jun";"2019"
"MST0292_2019-05-27";"2019-05-27";94230001;"Mya arenaria";"jan-jun";"2019"
"MST0293_2019-03-07";"2019-03-07";96510125;"Mya arenaria";"jan-jun";"2019"
"MST0371_2019-06-28";"2019-06-28";93420310;"Mya arenaria";"jan-jun";"2019"
"MST0453_2019-05-09";"2019-05-09";91320001;"Mya arenaria";"jan-jun";"2019"
"MST0468_2019-06-27";"2019-06-27";96220363;"Mya arenaria";"jan-jun";"2019"
"MST0476_2019-05-23";"2019-05-23";93220011;"Mya arenaria";"jan-jun";"2019"
"MST0486_2019-06-12";"2019-06-12";93770056;"Mya arenaria";"jan-jun";"2019"
"MST0489_2019-04-02";"2019-04-02";91650035;"Mya arenaria";"jan-jun";"2019"
"MST0505_2019-04-02";"2019-04-02";91650035;"Mya arenaria";"jan-jun";"2019"
"MST0562_2019-06-12";"2019-06-12";93770056;"Mya arenaria";"jan-jun";"2019"
"MST0144_2019-09-05";"2019-09-05";93220011;"Mya arenaria";"jul-nov";"2019"
"MST0188_2019-09-02";"2019-09-02";94230001;"Mya arenaria";"jul-nov";"2019"
"MST0367_2019-08-14";"2019-08-14";99210007;"Mya arenaria";"jul-nov";"2019"
"MST0379_2019-08-07";"2019-08-07";91320001;"Mya arenaria";"jul-nov";"2019"
"MST0430_2019-09-24";"2019-09-24";92200001;"Mya arenaria";"jul-nov";"2019"
"MST0450_2019-08-27";"2019-08-27";94300001;"Mya arenaria";"jul-nov";"2019"
"MST0471_2019-08-28";"2019-08-28";99000052;"Mya arenaria";"jul-nov";"2019"
"MST0473_2019-08-28";"2019-08-28";93730002;"Mya arenaria";"jul-nov";"2019"
"MST0502_2019-08-26";"2019-08-26";95600002;"Mya arenaria";"jul-nov";"2019"
"MST0518_2019-08-27";"2019-08-27";93610032;"Mya arenaria";"jul-nov";"2019"
"MST0527_2019-08-29";"2019-08-29";93740007;"Mya arenaria";"jul-nov";"2019"
"MST0560_2019-09-24";"2019-09-24";98210012;"Mya arenaria";"jul-nov";"2019"
"MST0267_2020-06-16";"2020-06-16";97200002;"Mya arenaria";"jan-jun";"2020"
"MST0350_2020-06-17";"2020-06-17";91650035;"Mya arenaria";"jan-jun";"2020"
"MST0353_2020-05-27";"2020-05-27";95700008;"Mya arenaria";"jan-jun";"2020"
"MST0377_2020-05-18";"2020-05-18";94300001;"Mya arenaria";"jan-jun";"2020"
"MST0378_2020-05-28";"2020-05-28";95130028;"Mya arenaria";"jan-jun";"2020"
"MST0384_2020-05-15";"2020-05-15";97200002;"Mya arenaria";"jan-jun";"2020"
"MST0385_2020-06-10";"2020-06-10";93410113;"Mya arenaria";"jan-jun";"2020"
"MST0386_2020-05-15";"2020-05-15";93740007;"Mya arenaria";"jan-jun";"2020"
"MST0394_2020-05-15";"2020-05-15";93740007;"Mya arenaria";"jan-jun";"2020"
"MST0395_2020-06-10";"2020-06-10";99000052;"Mya arenaria";"jan-jun";"2020"
"MST0404_2020-05-20";"2020-05-20";91500007;"Mya arenaria";"jan-jun";"2020"
"MST0424_2020-05-12";"2020-05-12";93610032;"Mya arenaria";"jan-jun";"2020"
"MST0447_2020-06-08";"2020-06-08";94230001;"Mya arenaria";"jan-jun";"2020"
"MST0448_2020-05-26";"2020-05-26";91320001;"Mya arenaria";"jan-jun";"2020"
"MST0501_2020-06-04";"2020-06-04";93220011;"Mya arenaria";"jan-jun";"2020"
"MST0510_2020-06-10";"2020-06-10";93920064;"Mya arenaria";"jan-jun";"2020"
"MST0529_2020-05-14";"2020-05-14";93730002;"Mya arenaria";"jan-jun";"2020"
"MST0530_2020-05-15";"2020-05-15";94400007;"Mya arenaria";"jan-jun";"2020"
"MST0533_2020-05-13";"2020-05-13";95600002;"Mya arenaria";"jan-jun";"2020"
"MST0535_2020-03-09";"2020-03-09";96510125;"Mya arenaria";"jan-jun";"2020"
"MST0551_2020-06-02";"2020-06-02";94300001;"Mya arenaria";"jan-jun";"2020"
"MST0552_2020-06-25";"2020-06-25";99000052;"Mya arenaria";"jan-jun";"2020"
"MST0558_2020-06-04";"2020-06-04";95220322;"Mya arenaria";"jan-jun";"2020"
"MST0147_2020-08-18";"2020-08-18";93220011;"Mya arenaria";"jul-nov";"2020"
"MST0356_2020-08-25";"2020-08-25";91500007;"Mya arenaria";"jul-nov";"2020"
"MST0364_2020-09-15";"2020-09-15";91320001;"Mya arenaria";"jul-nov";"2020"
"MST0435_2020-08-03";"2020-08-03";96220363;"Mya arenaria";"jul-nov";"2020"
"MST0439_2020-09-15";"2020-09-15";99210007;"Mya arenaria";"jul-nov";"2020"
"MST0452_2020-09-29";"2020-09-29";92200001;"Mya arenaria";"jul-nov";"2020"
"MST0504_2020-09-29";"2020-09-29";92200001;"Mya arenaria";"jul-nov";"2020"
"MST1002_2020-08-06";"2020-08-06";93740007;"Mya arenaria";"jul-nov";"2020"
"MST1010_2020-08-04";"2020-08-04";93610032;"Mya arenaria";"jul-nov";"2020"
"MST1013_2020-08-05";"2020-08-05";93730002;"Mya arenaria";"jul-nov";"2020"
"MST1023_2020-08-31";"2020-08-31";94230001;"Mya arenaria";"jul-nov";"2020"
"MST1049_2020-08-13";"2020-08-13";94300001;"Mya arenaria";"jul-nov";"2020"
"MST1051_2020-08-10";"2020-08-10";95600002;"Mya arenaria";"jul-nov";"2020"
"MST1027_2021-03-19";"2021-03-19";96510125;"Mya arenaria";"jan-jun";"2021"
"MST1038_2021-04-14";"2021-04-14";95220322;"Mya arenaria";"jan-jun";"2021"
"MST1039_2021-04-26";"2021-04-26";91320001;"Mya arenaria";"jan-jun";"2021"
"MST2021002_2021-07-07";"2021-07-07";96220363;"Mya arenaria";"jan-jun";"2021"
"MST2021005_2021-06-01";"2021-06-01";93220011;"Mya arenaria";"jan-jun";"2021"
"MST2021012_2021-04-27";"2021-04-27";95130028;"Mya arenaria";"jan-jun";"2021"
"MST2021030_2021-05-26";"2021-05-26";93740007;"Mya arenaria";"jan-jun";"2021"
"MST2021032_2021-06-23";"2021-06-23";93920064;"Mya arenaria";"jan-jun";"2021"
"MST2021049_2021-05-21";"2021-05-21";91650035;"Mya arenaria";"jan-jun";"2021"
"MST2021051_2021-06-04";"2021-06-04";93730002;"Mya arenaria";"jan-jun";"2021"
"MST2021052_2021-06-14";"2021-06-14";94230001;"Mya arenaria";"jan-jun";"2021"
"MST2021013_2021-08-25";"2021-08-25";93220011;"Mya arenaria";"jul-nov";"2021"
"MST2021015_2021-09-02";"2021-09-02";91320001;"Mya arenaria";"jul-nov";"2021"
"MST2021071_2021-10-13";"2021-10-13";94230001;"Mya arenaria";"jul-nov";"2021"
"MST0566_2022-03-14";"2022-03-14";93720041;"Mya arenaria";"jan-jun";"2022"
"MST2021002_2022-05-02";"2022-05-02";97200002;"Mya arenaria";"jan-jun";"2022"
"MST2021003_2022-05-03";"2022-05-03";93000001;"Mya arenaria";"jan-jun";"2022"
"MST2021005_2022-04-19";"2022-04-19";95130028;"Mya arenaria";"jan-jun";"2022"
"MST2021006_2022-07-11";"2022-07-11";94300001;"Mya arenaria";"jan-jun";"2022"
"MST2021007_2022-05-03";"2022-05-03";91320001;"Mya arenaria";"jan-jun";"2022"
"MST2021012_2022-05-09";"2022-05-09";96510125;"Mya arenaria";"jan-jun";"2022"
"MST2021016_2022-05-04";"2022-05-04";96220322;"Mya arenaria";"jan-jun";"2022"
"MST2021021_2022-04-19";"2022-04-19";97120028;"Mya arenaria";"jan-jun";"2022"
"MST2021023_2022-04-28";"2022-04-28";91650035;"Mya arenaria";"jan-jun";"2022"
"MST2021028_2022-05-09";"2022-05-09";91500007;"Mya arenaria";"jan-jun";"2022"
"MST2022034_2022-06-29";"2022-06-29";96250162;"Mya arenaria";"jan-jun";"2022"
"MST2022042_2022-06-22";"2022-06-22";93220011;"Mya arenaria";"jan-jun";"2022"
"MST2022047_2022-06-20";"2022-06-20";94230001;"Mya arenaria";"jan-jun";"2022"
"MST2022050_2022-05-10";"2022-05-10";93740007;"Mya arenaria";"jan-jun";"2022"
"MST2022055_2022-05-12";"2022-05-12";93610032;"Mya arenaria";"jan-jun";"2022"
"MST2022064_2022-05-05";"2022-05-05";95600002;"Mya arenaria";"jan-jun";"2022"
"MST2022076_2022-05-11";"2022-05-11";93730002;"Mya arenaria";"jan-jun";"2022"
"MST2022087_2022-05-17";"2022-05-17";94400007;"Mya arenaria";"jan-jun";"2022"
"MST1040_2022-08-22";"2022-08-22";91320001;"Mya arenaria";"jul-nov";"2022"
"MST2021025_2022-08-04";"2022-08-04";97200002;"Mya arenaria";"jul-nov";"2022"
"MST2022032_2022-08-18";"2022-08-18";96420199;"Mya arenaria";"jul-nov";"2022"
"MST2022040_2022-10-20";"2022-10-20";97230016;"Mya arenaria";"jul-nov";"2022"
"MST2022066_2022-08-03";"2022-08-03";99000052;"Mya arenaria";"jul-nov";"2022"
"MST2022073_2022-08-09";"2022-08-09";93740007;"Mya arenaria";"jul-nov";"2022"
"MST2022104_2022-08-29";"2022-08-29";94230001;"Mya arenaria";"jul-nov";"2022"
"MST0443_2023-04-21";"2023-04-21";93010001;"Mya arenaria";"jan-jun";"2023"
"MST2022077_2023-06-12";"2023-06-12";91500007;"Mya arenaria";"jan-jun";"2023"
"MST2022089_2023-05-01";"2023-05-01";97200002;"Mya arenaria";"jan-jun";"2023"
"MST2022094_2023-05-02";"2023-05-02";93730002;"Mya arenaria";"jan-jun";"2023"
"MST2022097_2023-04-28";"2023-04-28";95130028;"Mya arenaria";"jan-jun";"2023"
"MST2022100_2023-05-23";"2023-05-23";93000005;"Mya arenaria";"jan-jun";"2023"
"MST2022103_2023-05-03";"2023-05-03";93000001;"Mya arenaria";"jan-jun";"2023"
"MST2023009_2023-05-10";"2023-05-10";94300001;"Mya arenaria";"jan-jun";"2023"
"MST2023016_2023-05-08";"2023-05-08";95220322;"Mya arenaria";"jan-jun";"2023"
"MST2023020_2023-05-04";"2023-05-04";95600002;"Mya arenaria";"jan-jun";"2023"
"MST2023034_2023-05-02";"2023-05-02";93740007;"Mya arenaria";"jan-jun";"2023"
"MST2023064_2023-05-09";"2023-05-09";93610032;"Mya arenaria";"jan-jun";"2023"
"MST2023065_2023-05-10";"2023-05-10";94400007;"Mya arenaria";"jan-jun";"2023"
"MST2023086_2023-05-23";"2023-05-23";91320001;"Mya arenaria";"jan-jun";"2023"
"MST2023089_2023-05-17";"2023-05-17";93220011;"Mya arenaria";"jan-jun";"2023"
"MST2023097_2023-06-05";"2023-06-05";99150002;"Mya arenaria";"jan-jun";"2023"
"MST2023099_2023-06-22";"2023-06-22";96220363;"Mya arenaria";"jan-jun";"2023"
"MST2023102_2023-06-29";"2023-06-29";97230017;"Mya arenaria";"jan-jun";"2023"
"MST2023114_2023-03-17";"2023-03-17";91650035;"Mya arenaria";"jan-jun";"2023"
"MST2023118_2023-06-19";"2023-06-19";94230001;"Mya arenaria";"jan-jun";"2023"
"MST2023001_2023-08-21";"2023-08-21";93740007;"Mya arenaria";"jul-nov";"2023"
"MST2023010_2023-08-02";"2023-08-02";99000052;"Mya arenaria";"jul-nov";"2023"
"MST2023019_2023-08-25";"2023-08-25";99000049;"Mya arenaria";"jul-nov";"2023"
"MST2023033_2023-08-11";"2023-08-11";95600002;"Mya arenaria";"jul-nov";"2023"
"MST2023050_2023-10-03";"2023-10-03";96420199;"Mya arenaria";"jul-nov";"2023"
"MST2023055_2023-08-01";"2023-08-01";94300001;"Mya arenaria";"jul-nov";"2023"
"MST2023061_2023-08-11";"2023-08-11";94400007;"Mya arenaria";"jul-nov";"2023"
"MST2023074_2023-08-10";"2023-08-10";93610032;"Mya arenaria";"jul-nov";"2023"
"MST2023076_2023-08-03";"2023-08-03";97200002;"Mya arenaria";"jul-nov";"2023"
"MST2023081_2023-10-02";"2023-10-02";99210007;"Mya arenaria";"jul-nov";"2023"
"MST2023082_2023-10-04";"2023-10-04";93220011;"Mya arenaria";"jul-nov";"2023"
"MST2023084_2023-10-09";"2023-10-09";91320001;"Mya arenaria";"jul-nov";"2023"
"MST2023096_2023-08-18";"2023-08-18";93420310;"Mya arenaria";"jul-nov";"2023"
"MST2023117_2023-09-11";"2023-09-11";94230001;"Mya arenaria";"jul-nov";"2023"
"MST0252_2019-04-29";"2019-04-29";96120002;"Neogobius melanostomus";"jan-jun";"2019"
"MST0468_2019-06-27";"2019-06-27";96220363;"Neogobius melanostomus";"jan-jun";"2019"
"MST0367_2019-08-14";"2019-08-14";99210007;"Neogobius melanostomus";"jul-nov";"2019"
"MST0422_2019-08-26";"2019-08-26";97200002;"Neogobius melanostomus";"jul-nov";"2019"
"MST0560_2019-09-24";"2019-09-24";98210012;"Neogobius melanostomus";"jul-nov";"2019"
"MST0447_2020-06-08";"2020-06-08";94230001;"Neogobius melanostomus";"jan-jun";"2020"
"MST0435_2020-08-03";"2020-08-03";96220363;"Neogobius melanostomus";"jul-nov";"2020"
"MST0439_2020-09-15";"2020-09-15";99210007;"Neogobius melanostomus";"jul-nov";"2020"
"MST1006_2020-09-23";"2020-09-23";98210012;"Neogobius melanostomus";"jul-nov";"2020"
"MST1023_2020-08-31";"2020-08-31";94230001;"Neogobius melanostomus";"jul-nov";"2020"
"MST2021002_2021-07-07";"2021-07-07";96220363;"Neogobius melanostomus";"jan-jun";"2021"
"MST2021025_2021-06-10";"2021-06-10";99150002;"Neogobius melanostomus";"jan-jun";"2021"
"MST2021052_2021-06-14";"2021-06-14";94230001;"Neogobius melanostomus";"jan-jun";"2021"
"MST2021006_2021-08-24";"2021-08-24";99210007;"Neogobius melanostomus";"jul-nov";"2021"
"MST2021071_2021-10-13";"2021-10-13";94230001;"Neogobius melanostomus";"jul-nov";"2021"
"MST2021005_2022-04-19";"2022-04-19";95130028;"Neogobius melanostomus";"jan-jun";"2022"
"MST2021021_2022-04-19";"2022-04-19";97120028;"Neogobius melanostomus";"jan-jun";"2022"
"MST2022034_2022-06-29";"2022-06-29";96250162;"Neogobius melanostomus";"jan-jun";"2022"
"MST2022045_2022-06-10";"2022-06-10";99150002;"Neogobius melanostomus";"jan-jun";"2022"
"MST2022047_2022-06-20";"2022-06-20";94230001;"Neogobius melanostomus";"jan-jun";"2022"
"MST2022032_2022-08-18";"2022-08-18";96420199;"Neogobius melanostomus";"jul-nov";"2022"
"MST2022104_2022-08-29";"2022-08-29";94230001;"Neogobius melanostomus";"jul-nov";"2022"
"MST2023016_2023-05-08";"2023-05-08";95220322;"Neogobius melanostomus";"jan-jun";"2023"
"MST2023097_2023-06-05";"2023-06-05";99150002;"Neogobius melanostomus";"jan-jun";"2023"
"MST2023099_2023-06-22";"2023-06-22";96220363;"Neogobius melanostomus";"jan-jun";"2023"
"MST2023118_2023-06-19";"2023-06-19";94230001;"Neogobius melanostomus";"jan-jun";"2023"
"MST2023076_2023-08-03";"2023-08-03";97200002;"Neogobius melanostomus";"jul-nov";"2023"
"MST2023081_2023-10-02";"2023-10-02";99210007;"Neogobius melanostomus";"jul-nov";"2023"
"MST2023117_2023-09-11";"2023-09-11";94230001;"Neogobius melanostomus";"jul-nov";"2023"
"MST0121_2017-09-05";"2017-09-05";91500007;"Oncorhynchus mykiss";"jul-nov";"2017"
"MST0059_2018-04-05";"2018-04-05";95130028;"Oncorhynchus mykiss";"jan-jun";"2018"
"MST0278_2019-03-14";"2019-03-14";95130028;"Oncorhynchus mykiss";"jan-jun";"2019"
"MST0282_2019-03-14";"2019-03-14";95130028;"Oncorhynchus mykiss";"jan-jun";"2019"
"MST0378_2020-05-28";"2020-05-28";95130028;"Oncorhynchus mykiss";"jan-jun";"2020"
"MST0558_2020-06-04";"2020-06-04";95220322;"Oncorhynchus mykiss";"jan-jun";"2020"
"MST0364_2020-09-15";"2020-09-15";91320001;"Oncorhynchus mykiss";"jul-nov";"2020"
"MST0452_2020-09-29";"2020-09-29";92200001;"Oncorhynchus mykiss";"jul-nov";"2020"
"MST1002_2020-08-06";"2020-08-06";93740007;"Oncorhynchus mykiss";"jul-nov";"2020"
"MST1039_2021-04-26";"2021-04-26";91320001;"Oncorhynchus mykiss";"jan-jun";"2021"
"MST2021012_2021-04-27";"2021-04-27";95130028;"Oncorhynchus mykiss";"jan-jun";"2021"
"MST2022050_2022-05-10";"2022-05-10";93740007;"Oncorhynchus mykiss";"jan-jun";"2022"
"MST0243_2018-09-04";"2018-09-04";91320001;"Prorocentrum minimum";"jul-nov";"2018"
"MST0243_2018-09-04";"2018-09-04";91320001;"Prorocentrum minimum";"jul-nov";"2018"
"MST0129_2019-06-28";"2019-06-28";92200001;"Prorocentrum minimum";"jan-jun";"2019"
"MST0158_2019-06-25";"2019-06-25";97200002;"Prorocentrum minimum";"jan-jun";"2019"
"MST0173_2019-05-21";"2019-05-21";93000005;"Prorocentrum minimum";"jan-jun";"2019"
"MST0177_2019-06-04";"2019-06-04";95600002;"Prorocentrum minimum";"jan-jun";"2019"
"MST0179_2019-06-11";"2019-06-11";94400007;"Prorocentrum minimum";"jan-jun";"2019"
"MST0182_2019-06-12";"2019-06-12";94300001;"Prorocentrum minimum";"jan-jun";"2019"
"MST0189_2019-05-28";"2019-05-28";94300001;"Prorocentrum minimum";"jan-jun";"2019"
"MST0266_2019-03-07";"2019-03-07";96510125;"Prorocentrum minimum";"jan-jun";"2019"
"MST0269_2019-03-12";"2019-03-12";93500119;"Prorocentrum minimum";"jan-jun";"2019"
"MST0292_2019-05-27";"2019-05-27";94230001;"Prorocentrum minimum";"jan-jun";"2019"
"MST0293_2019-03-07";"2019-03-07";96510125;"Prorocentrum minimum";"jan-jun";"2019"
"MST0371_2019-06-28";"2019-06-28";93420310;"Prorocentrum minimum";"jan-jun";"2019"
"MST0468_2019-06-27";"2019-06-27";96220363;"Prorocentrum minimum";"jan-jun";"2019"
"MST0188_2019-09-02";"2019-09-02";94230001;"Prorocentrum minimum";"jul-nov";"2019"
"MST0367_2019-08-14";"2019-08-14";99210007;"Prorocentrum minimum";"jul-nov";"2019"
"MST0379_2019-08-07";"2019-08-07";91320001;"Prorocentrum minimum";"jul-nov";"2019"
"MST0413_2019-09-24";"2019-09-24";92200001;"Prorocentrum minimum";"jul-nov";"2019"
"MST0419_2019-08-26";"2019-08-26";93000005;"Prorocentrum minimum";"jul-nov";"2019"
"MST0422_2019-08-26";"2019-08-26";97200002;"Prorocentrum minimum";"jul-nov";"2019"
"MST0427_2019-08-29";"2019-08-29";94300001;"Prorocentrum minimum";"jul-nov";"2019"
"MST0430_2019-09-24";"2019-09-24";92200001;"Prorocentrum minimum";"jul-nov";"2019"
"MST0450_2019-08-27";"2019-08-27";94300001;"Prorocentrum minimum";"jul-nov";"2019"
"MST0471_2019-08-28";"2019-08-28";99000052;"Prorocentrum minimum";"jul-nov";"2019"
"MST0473_2019-08-28";"2019-08-28";93730002;"Prorocentrum minimum";"jul-nov";"2019"
"MST0482_2019-09-05";"2019-09-05";94400007;"Prorocentrum minimum";"jul-nov";"2019"
"MST0498_2019-08-27";"2019-08-27";91500007;"Prorocentrum minimum";"jul-nov";"2019"
"MST0502_2019-08-26";"2019-08-26";95600002;"Prorocentrum minimum";"jul-nov";"2019"
"MST0518_2019-08-27";"2019-08-27";93610032;"Prorocentrum minimum";"jul-nov";"2019"
"MST0521_2019-08-07";"2019-08-07";99000049;"Prorocentrum minimum";"jul-nov";"2019"
"MST0527_2019-08-29";"2019-08-29";93740007;"Prorocentrum minimum";"jul-nov";"2019"
"MST0560_2019-09-24";"2019-09-24";98210012;"Prorocentrum minimum";"jul-nov";"2019"
"MST0156_2020-05-15";"2020-05-15";92200001;"Prorocentrum minimum";"jan-jun";"2020"
"MST0267_2020-06-16";"2020-06-16";97200002;"Prorocentrum minimum";"jan-jun";"2020"
"MST0377_2020-05-18";"2020-05-18";94300001;"Prorocentrum minimum";"jan-jun";"2020"
"MST0378_2020-05-28";"2020-05-28";95130028;"Prorocentrum minimum";"jan-jun";"2020"
"MST0385_2020-06-10";"2020-06-10";93410113;"Prorocentrum minimum";"jan-jun";"2020"
"MST0394_2020-05-15";"2020-05-15";93740007;"Prorocentrum minimum";"jan-jun";"2020"
"MST0447_2020-06-08";"2020-06-08";94230001;"Prorocentrum minimum";"jan-jun";"2020"
"MST0455_2020-05-15";"2020-05-15";92200001;"Prorocentrum minimum";"jan-jun";"2020"
"MST0510_2020-06-10";"2020-06-10";93920064;"Prorocentrum minimum";"jan-jun";"2020"
"MST0522_2020-07-28";"2020-07-28";99150002;"Prorocentrum minimum";"jan-jun";"2020"
"MST0530_2020-05-15";"2020-05-15";94400007;"Prorocentrum minimum";"jan-jun";"2020"
"MST0533_2020-05-13";"2020-05-13";95600002;"Prorocentrum minimum";"jan-jun";"2020"
"MST0551_2020-06-02";"2020-06-02";94300001;"Prorocentrum minimum";"jan-jun";"2020"
"MST0147_2020-08-18";"2020-08-18";93220011;"Prorocentrum minimum";"jul-nov";"2020"
"MST0356_2020-08-25";"2020-08-25";91500007;"Prorocentrum minimum";"jul-nov";"2020"
"MST0364_2020-09-15";"2020-09-15";91320001;"Prorocentrum minimum";"jul-nov";"2020"
"MST0406_2020-09-03";"2020-09-03";99000052;"Prorocentrum minimum";"jul-nov";"2020"
"MST0435_2020-08-03";"2020-08-03";96220363;"Prorocentrum minimum";"jul-nov";"2020"
"MST0439_2020-09-15";"2020-09-15";99210007;"Prorocentrum minimum";"jul-nov";"2020"
"MST0459_2020-09-01";"2020-09-01";94300001;"Prorocentrum minimum";"jul-nov";"2020"
"MST0504_2020-09-29";"2020-09-29";92200001;"Prorocentrum minimum";"jul-nov";"2020"
"MST0547_2020-08-31";"2020-08-31";97200002;"Prorocentrum minimum";"jul-nov";"2020"
"MST1002_2020-08-06";"2020-08-06";93740007;"Prorocentrum minimum";"jul-nov";"2020"
"MST1003_2020-08-03";"2020-08-03";93000005;"Prorocentrum minimum";"jul-nov";"2020"
"MST1005_2020-08-03";"2020-08-03";93000005;"Prorocentrum minimum";"jul-nov";"2020"
"MST1006_2020-09-23";"2020-09-23";98210012;"Prorocentrum minimum";"jul-nov";"2020"
"MST1010_2020-08-04";"2020-08-04";93610032;"Prorocentrum minimum";"jul-nov";"2020"
