"MST.nummer";"dato indsamlet";"lokalitet_vanda";"latinsk artsnavn";"sæson";"år"
"MST2021085_2021-09-16";"2021-09-16";93000001;"Karenia mikimotoi";"jul-nov";"2021"
"MST2021099_2021-08-24";"2021-08-24";94400007;"Karenia mikimotoi";"jul-nov";"2021"
"MST0011_2022-03-08";"2022-03-08";93500119;"Karenia mikimotoi";"jan-jun";"2022"
"MST0442_2022-06-24";"2022-06-24";92200001;"Karenia mikimotoi";"jan-jun";"2022"
"MST0454_2022-07-04";"2022-07-04";93920064;"Karenia mikimotoi";"jan-jun";"2022"
"MST2021028_2022-05-09";"2022-05-09";91500007;"Karenia mikimotoi";"jan-jun";"2022"
"MST2022035_2022-09-27";"2022-09-27";92200001;"Karenia mikimotoi";"jul-nov";"2022"
"MST2022039_2022-10-18";"2022-10-18";93410108;"Karenia mikimotoi";"jul-nov";"2022"
"MST2022053_2022-08-10";"2022-08-10";93730002;"Karenia mikimotoi";"jul-nov";"2022"
"MST2022073_2022-08-09";"2022-08-09";93740007;"Karenia mikimotoi";"jul-nov";"2022"
"MST2022080_2022-08-05";"2022-08-05";93000001;"Karenia mikimotoi";"jul-nov";"2022"
"MST2022086_2022-09-21";"2022-09-21";91500007;"Karenia mikimotoi";"jul-nov";"2022"
"MST2022093_2022-08-10";"2022-08-10";93000005;"Karenia mikimotoi";"jul-nov";"2022"
"MST2022094_2023-05-02";"2023-05-02";93730002;"Karenia mikimotoi";"jan-jun";"2023"
"MST2023114_2023-03-17";"2023-03-17";91650035;"Karenia mikimotoi";"jan-jun";"2023"
"MST1018_2023-09-06";"2023-09-06";92200001;"Karenia mikimotoi";"jul-nov";"2023"
"MST2023001_2023-08-21";"2023-08-21";93740007;"Karenia mikimotoi";"jul-nov";"2023"
"MST2023015_2023-08-04";"2023-08-04";93000001;"Karenia mikimotoi";"jul-nov";"2023"
"MST2023050_2023-10-03";"2023-10-03";96420199;"Karenia mikimotoi";"jul-nov";"2023"
"MST2023055_2023-08-01";"2023-08-01";94300001;"Karenia mikimotoi";"jul-nov";"2023"
"MST2023061_2023-08-11";"2023-08-11";94400007;"Karenia mikimotoi";"jul-nov";"2023"
"MST2023111_2023-08-12";"2023-08-12";91500007;"Karenia mikimotoi";"jul-nov";"2023"
"MST2023117_2023-09-11";"2023-09-11";94230001;"Karenia mikimotoi";"jul-nov";"2023"
"MST0019_2017-09-12";"2017-09-12";93740007;"Mnemiopsis leidyi";"jul-nov";"2017"
"MST0029_2017-09-25";"2017-09-25";95600002;"Mnemiopsis leidyi";"jul-nov";"2017"
"MST0032_2017-09-20";"2017-09-20";94300001;"Mnemiopsis leidyi";"jul-nov";"2017"
"MST0048_2017-10-09";"2017-10-09";94230001;"Mnemiopsis leidyi";"jul-nov";"2017"
"MST0121_2017-09-05";"2017-09-05";91500007;"Mnemiopsis leidyi";"jul-nov";"2017"
"MST0131_2017-10-10";"2017-10-10";92200001;"Mnemiopsis leidyi";"jul-nov";"2017"
"MST0126_2018-05-25";"2018-05-25";91650035;"Mnemiopsis leidyi";"jan-jun";"2018"
"MST0152_2018-06-04";"2018-06-04";94230001;"Mnemiopsis leidyi";"jan-jun";"2018"
"MST0109_2018-09-25";"2018-09-25";99210007;"Mnemiopsis leidyi";"jul-nov";"2018"
"MST0110_2018-10-10";"2018-10-10";98210012;"Mnemiopsis leidyi";"jul-nov";"2018"
"MST0128_2018-08-07";"2018-08-07";91500007;"Mnemiopsis leidyi";"jul-nov";"2018"
"MST0141_2018-08-16";"2018-08-16";93220011;"Mnemiopsis leidyi";"jul-nov";"2018"
"MST0197_2018-09-03";"2018-09-03";93000005;"Mnemiopsis leidyi";"jul-nov";"2018"
"MST0211_2018-09-25";"2018-09-25";94400007;"Mnemiopsis leidyi";"jul-nov";"2018"
"MST0218_2018-09-19";"2018-09-19";94300001;"Mnemiopsis leidyi";"jul-nov";"2018"
"MST0220_2018-08-30";"2018-08-30";93740007;"Mnemiopsis leidyi";"jul-nov";"2018"
"MST0221_2018-08-29";"2018-08-29";97200002;"Mnemiopsis leidyi";"jul-nov";"2018"
"MST0227_2018-08-29";"2018-08-29";93730002;"Mnemiopsis leidyi";"jul-nov";"2018"
"MST0231_2018-08-17";"2018-08-17";95600002;"Mnemiopsis leidyi";"jul-nov";"2018"
"MST0235_2018-08-31";"2018-08-31";99000052;"Mnemiopsis leidyi";"jul-nov";"2018"
"MST0237_2018-09-10";"2018-09-10";94230001;"Mnemiopsis leidyi";"jul-nov";"2018"
"MST0242_2018-09-18";"2018-09-18";99000049;"Mnemiopsis leidyi";"jul-nov";"2018"
"MST0243_2018-09-04";"2018-09-04";91320001;"Mnemiopsis leidyi";"jul-nov";"2018"
"MST0244_2018-08-28";"2018-08-28";95600002;"Mnemiopsis leidyi";"jul-nov";"2018"
"MST0257_2018-08-23";"2018-08-23";94300001;"Mnemiopsis leidyi";"jul-nov";"2018"
"MST0082_2019-04-03";"2019-04-03";93100011;"Mnemiopsis leidyi";"jan-jun";"2019"
"MST0129_2019-06-28";"2019-06-28";92200001;"Mnemiopsis leidyi";"jan-jun";"2019"
"MST0266_2019-03-07";"2019-03-07";96510125;"Mnemiopsis leidyi";"jan-jun";"2019"
"MST0371_2019-06-28";"2019-06-28";93420310;"Mnemiopsis leidyi";"jan-jun";"2019"
"MST0414_2019-05-14";"2019-05-14";91500007;"Mnemiopsis leidyi";"jan-jun";"2019"
"MST0468_2019-06-27";"2019-06-27";96220363;"Mnemiopsis leidyi";"jan-jun";"2019"
"MST0486_2019-06-12";"2019-06-12";93770056;"Mnemiopsis leidyi";"jan-jun";"2019"
"MST0562_2019-06-12";"2019-06-12";93770056;"Mnemiopsis leidyi";"jan-jun";"2019"
"MST0144_2019-09-05";"2019-09-05";93220011;"Mnemiopsis leidyi";"jul-nov";"2019"
"MST0367_2019-08-14";"2019-08-14";99210007;"Mnemiopsis leidyi";"jul-nov";"2019"
"MST0379_2019-08-07";"2019-08-07";91320001;"Mnemiopsis leidyi";"jul-nov";"2019"
"MST0413_2019-09-24";"2019-09-24";92200001;"Mnemiopsis leidyi";"jul-nov";"2019"
"MST0419_2019-08-26";"2019-08-26";93000005;"Mnemiopsis leidyi";"jul-nov";"2019"
"MST0422_2019-08-26";"2019-08-26";97200002;"Mnemiopsis leidyi";"jul-nov";"2019"
"MST0427_2019-08-29";"2019-08-29";94300001;"Mnemiopsis leidyi";"jul-nov";"2019"
"MST0430_2019-09-24";"2019-09-24";92200001;"Mnemiopsis leidyi";"jul-nov";"2019"
"MST0450_2019-08-27";"2019-08-27";94300001;"Mnemiopsis leidyi";"jul-nov";"2019"
"MST0471_2019-08-28";"2019-08-28";99000052;"Mnemiopsis leidyi";"jul-nov";"2019"
"MST0473_2019-08-28";"2019-08-28";93730002;"Mnemiopsis leidyi";"jul-nov";"2019"
"MST0482_2019-09-05";"2019-09-05";94400007;"Mnemiopsis leidyi";"jul-nov";"2019"
"MST0498_2019-08-27";"2019-08-27";91500007;"Mnemiopsis leidyi";"jul-nov";"2019"
"MST0502_2019-08-26";"2019-08-26";95600002;"Mnemiopsis leidyi";"jul-nov";"2019"
"MST0518_2019-08-27";"2019-08-27";93610032;"Mnemiopsis leidyi";"jul-nov";"2019"
"MST0527_2019-08-29";"2019-08-29";93740007;"Mnemiopsis leidyi";"jul-nov";"2019"
"MST0560_2019-09-24";"2019-09-24";98210012;"Mnemiopsis leidyi";"jul-nov";"2019"
"MST0156_2020-05-15";"2020-05-15";92200001;"Mnemiopsis leidyi";"jan-jun";"2020"
"MST0350_2020-06-17";"2020-06-17";91650035;"Mnemiopsis leidyi";"jan-jun";"2020"
"MST0353_2020-05-27";"2020-05-27";95700008;"Mnemiopsis leidyi";"jan-jun";"2020"
"MST0377_2020-05-18";"2020-05-18";94300001;"Mnemiopsis leidyi";"jan-jun";"2020"
"MST0378_2020-05-28";"2020-05-28";95130028;"Mnemiopsis leidyi";"jan-jun";"2020"
"MST0404_2020-05-20";"2020-05-20";91500007;"Mnemiopsis leidyi";"jan-jun";"2020"
"MST0447_2020-06-08";"2020-06-08";94230001;"Mnemiopsis leidyi";"jan-jun";"2020"
"MST0448_2020-05-26";"2020-05-26";91320001;"Mnemiopsis leidyi";"jan-jun";"2020"
"MST0455_2020-05-15";"2020-05-15";92200001;"Mnemiopsis leidyi";"jan-jun";"2020"
"MST0462_2020-03-09";"2020-03-09";93010001;"Mnemiopsis leidyi";"jan-jun";"2020"
"MST0510_2020-06-10";"2020-06-10";93920064;"Mnemiopsis leidyi";"jan-jun";"2020"
"MST0522_2020-07-28";"2020-07-28";99150002;"Mnemiopsis leidyi";"jan-jun";"2020"
"MST0529_2020-05-14";"2020-05-14";93730002;"Mnemiopsis leidyi";"jan-jun";"2020"
"MST0530_2020-05-15";"2020-05-15";94400007;"Mnemiopsis leidyi";"jan-jun";"2020"
"MST0533_2020-05-13";"2020-05-13";95600002;"Mnemiopsis leidyi";"jan-jun";"2020"
"MST0535_2020-03-09";"2020-03-09";96510125;"Mnemiopsis leidyi";"jan-jun";"2020"
"MST0551_2020-06-02";"2020-06-02";94300001;"Mnemiopsis leidyi";"jan-jun";"2020"
"MST0558_2020-06-04";"2020-06-04";95220322;"Mnemiopsis leidyi";"jan-jun";"2020"
"MST0147_2020-08-18";"2020-08-18";93220011;"Mnemiopsis leidyi";"jul-nov";"2020"
"MST0356_2020-08-25";"2020-08-25";91500007;"Mnemiopsis leidyi";"jul-nov";"2020"
