"","Vandprvenummer_unikt_nummer_U_Pr_Nr","Ansvarlig_prvetager_navn_Navn_Inds","Skib_skib","Institution_Inst","dato_dato_inds","lokalitet_navn_omrde_Lok_omr","position_breddegrad_lok_pos","position_lngdegrad_lok_pos","Max_vanddybde_p_lokalitet_max_Dyb","Dybde_hvor_vandprve_er_indhentet_fra_Dyb_Str","Volumen_vand_filtreret_Vwf","Er_vandsjlen_lagdelt_ja_nej","Dybde_for_lagdelingen_Dyb_lagd","dato_hvor_vandprve_er_overfrt_fra_15_C_til_80_C_dato_80C","Temperatur_p_vandprve_ved_indsamling_Temp_Inds","Er_vandhenter_behrigt_skyllet_inden_vandprven_blev_indsamlet_ja_nej","Er_pose_og_filter_udskiftet_i_Amphiltrator_inden_prven_er_blevet_filtreret_ja_nej","Vandprven_blev_indsamlet_samtidigt_med_bundfauna_makroalge_zooplankton_fytoplankton_fiskeri","Restvand_er_presset_ud_af_filteret_inden_indfrysning_ja_nej","Zip_lock_pose_med_filter_er_markeret_med_dato_unikt_nummer_og_lokalitet_ja_nej","Bemrkninger","position_breddegrad_lok_pos03","position_breddegrad_lok_pos02","position_lngdegrad_lok_pos03","position_lngdegrad_lok_pos02","Vapr","tidspunkt_hvor_vandprve_er_indsamlet_tdspkt_inds_01","tidspunkt_hvor_vandprve_er_indsamlet_tdspkt_inds_02","tidspunkt_hvor_vandprve_er_filtreret_tdspkt_filt","tidspunkt_hvor_vandprve_er_indfrosset_15_C_tdspkt_indfr_01","tidspunkt_hvor_vandprve_er_indfrosset_15_C_tdspkt_indfr_02","dec_lon","dec_lat","Uprn"
"11","MST2021027","janeAndersen","Haig","SYD",2022-05-09,"91500007_Blaavand_Landegraenseaabnedel",55.3397666666667,8.33575833333333,6,1,1500,"nej",NA,"2022:05:12","1128","ja","ja","Fytoplankton","ja","ja","91500007
ErangivetMST2021_029paafilterproeven","55°20,386 N","55DEGR_20MINUT_23.16SECONDS","8°20,873 Ø","8DEGR_20MINUT_8.73SECONDS","MST2021027","1000utc",NA,"1004utc","1015utc",NA,8.33575833333333,55.3397666666667,"MST2021027"
"12","MST2021028","janeAndersen","Haig","SYD",2022-05-09,"91500007_Blaavand_Landegraenseaabnedel",55.3397833333333,8.33575833333333,6,1,1500,"nej",NA,"2022:05:12","1128","ja","ja","Fytoplankton","ja","ja","91500007","55°20,387 N","55DEGR_20MINUT_23.22SECONDS","8°20,873 Ø","8DEGR_20MINUT_8.73SECONDS","MST2021028","1000utc",NA,"1022utc","1035utc",NA,8.33575833333333,55.3397833333333,"MST2021028"
"13","MST2022086","LasseoerstedJensen","Haig","SYD",2022-09-21,"91500007_Blaavand_Landegraenseaabnedel",55.3375,8.35001111111111,55,1,1200,"nej",NA,"2022:09:22","15","ja","ja","Fytoplankton","ja","ja","91500007","55°20,25 N","55DEGR_20MINUT_15SECONDS","8°21,04 Ø","8DEGR_21MINUT_0.04SECONDS","MST2022086","0943utc",NA,"1151utc","1155utc",NA,8.35001111111111,55.3375,"MST2022086"
"14","MST2022101","LasseoerstedJensen","Haig","SYD",2022-09-21,"91500007_Blaavand_Landegraenseaabnedel",55.3375,8.35001111111111,55,1,1100,"nej",NA,"2022:09:22","15","ja","ja","Fytoplankton","ja","ja","91500007","55°20,25 N","55DEGR_20MINUT_15SECONDS","8°21,04 Ø","8DEGR_21MINUT_0.04SECONDS","MST2022101","0925utc",NA,"0935utc","0940utc",NA,8.35001111111111,55.3375,"MST2022101"
"15","MST442","SvendaageBendtsen","MagretheGaardbo","NJL",2022-06-24,"92200001_Hirtshals15m",57.6078333333333,9.90025555555555,19,NA,1700,"nej",NA,"2022:07:04","152","ja","ja","Fyto_ogzooplankton","ja","ja","ErudtagetmedLindahlslangesomdybdeintegredetproeverfra0_10metersammenmedfytoplanktonproeverneogsaaprofilmaalingerchlAogvandkemiZooplanktonpumpedefekt","57°36,47 N","57DEGR_36MINUT_28.2SECONDS","9°54,92 Ø","9DEGR_54MINUT_0.92SECONDS","MST442","1028utc",NA,"1240utc","1250utc",NA,9.90025555555555,57.6078333333333,"MST442"
"16","MST444","SvendaageBendtsen","MagretheGaardbo","NJL",2022-06-24,"92200001_Hirtshals15m",57.6078333333333,9.90025555555555,19,NA,1600,"nej",NA,"2022:07:04","152","ja","ja","Fyto_ogzooplankton","ja","ja","ErudtagetmedLindahlslangesomdybdeintegredetproeverfra0_10metersammenmedfytoplanktonproeverneogsaaprofilmaalingerchlAogvandkemiZooplanktonpumpedefekt","57°36,47 N","57DEGR_36MINUT_28.2SECONDS","9°54,92 Ø","9DEGR_54MINUT_0.92SECONDS","MST444","1028utc",NA,"1250utc","1300utc",NA,9.90025555555555,57.6078333333333,"MST444"
"17","MST2022035","SvendaageBendtsen","MagretheGaardbo","NJL",2022-09-27,"92200001_Hirtshals15m",57.6078333333333,9.90025555555555,20,NA,1300,"nej",NA,"2022:10:03","15","ja","ja","Fyto_ogzooplankton","ja","ja","ErudtagetmedLindahlslangesomdybdeintegredetproeverfra0_10metersammenmedfyto_ogzooplanktonproeverneogsaaprofilmaalingerchlAogvandkemi","57°36,47 N","57DEGR_36MINUT_28.2SECONDS","9°54,92 Ø","9DEGR_54MINUT_0.92SECONDS","MST2022035","1110utc",NA,"1415utc","1430utc",NA,9.90025555555555,57.6078333333333,"MST2022035"
"18","MST2022037","SvendaageBendtsen","MagretheGaardbo","NJL",2022-09-27,"92200001_Hirtshals15m",57.6078333333333,9.90025555555555,20,NA,1300,"nej",NA,"2022:10:03","15","ja","ja","Fyto_ogzooplankton","ja","ja","ErudtagetmedLindahlslangesomdybdeintegredetproeverfra0_10metersammenmedfyto_ogzooplanktonproeverneogsaaprofilmaalingerchlAogvandkemi","57°36,47 N","57DEGR_36MINUT_28.2SECONDS","9°54,92 Ø","9DEGR_54MINUT_0.92SECONDS","MST2022037","1110utc",NA,"1400utc","1415utc",NA,9.90025555555555,57.6078333333333,"MST2022037"
"19","MST454","SvendaageBendtsen","Pingo","NJL",2022-07-04,"93920064_KragskovRevSyd",57.5407666666667,10.4687805555556,45,35,1500,"nej",NA,"2022:07:05","177","ja","ja","Makroalger","ja","ja",NA,"57°32,446 N","57DEGR_32MINUT_26.76SECONDS","10°28,761 Ø","010DEGR_28MINUT_7.61SECONDS","MST454","1130utc",NA,"1330utc","1345utc",NA,10.4687805555556,57.5407666666667,"MST454"
"20","MST294","SvendaageBendtsen","Pingo","NJL",2022-07-04,"93920064_KragskovRevSyd",57.5407666666667,10.4687805555556,45,35,1500,"nej",NA,"2022:07:05","177","ja","ja","Makroalger","ja","ja",NA,"57°32,446 N","57DEGR_32MINUT_26.76SECONDS","10°28,761 Ø","010DEGR_28MINUT_7.61SECONDS","MST294","1130utc",NA,"1345utc","1400utc",NA,10.4687805555556,57.5407666666667,"MST294"
"21","MST2022047","FlemmingNoergaard","Belone","FYN",2022-06-20,"94230001_FYN6900017",55.4678333333333,10.5169333333333,82,1,1150,"nej",NA,"2022:06:21","18","ja","ja","Fytoplankton","ja","ja",NA,"55°28,7 N","55DEGR_28MINUT_4.2SECONDS","10°31,096 Ø","010DEGR_31MINUT_0.96SECONDS","MST2022047","NA",NA,"NA","NA",NA,10.5169333333333,55.4678333333333,"MST2022047"
"22","MST2021024","FlemmingNoergaard","Belone","FYN",2022-06-20,"94230001_FYN6900017",55.4678333333333,10.5169333333333,82,1,1200,"nej",NA,"2022:06:21","18","ja","ja","Fytoplankton","ja","ja",NA,"55°28,7 N","55DEGR_28MINUT_4.2SECONDS","10°31,096 Ø","010DEGR_31MINUT_0.96SECONDS","MST2021024","NA",NA,"NA","NA",NA,10.5169333333333,55.4678333333333,"MST2021024"
"23","MST2022104","FlemmingNoergaard","Belone","FYN",2022-08-29,"94230001_FYN6900017",55.4678333333333,10.5169333333333,96,1,1000,"nej",NA,"2022:09:05","193","ja","ja","Fytoplankton","ja","ja",NA,"55°28,7 N","55DEGR_28MINUT_4.2SECONDS","10°31,096 Ø","010DEGR_31MINUT_0.96SECONDS","MST2022104","NA",NA,"NA","NA",NA,10.5169333333333,55.4678333333333,"MST2022104"
"24","MST2022107","FlemmingNoergaard","Belone","FYN",2022-08-29,"94230001_FYN6900017",55.4678333333333,10.5169333333333,96,1,1000,"nej",NA,"2022:09:05","193","ja","ja","Fytoplankton","ja","ja",NA,"55°28,7 N","55DEGR_28MINUT_4.2SECONDS","10°31,096 Ø","010DEGR_31MINUT_0.96SECONDS","MST2022107","NA",NA,"NA","NA",NA,10.5169333333333,55.4678333333333,"MST2022107"
"25","MST2021007","KREHA_GERPE","Penelope","MJL",2022-05-03,"91320001_RingkoebingFjord",56.0778333333333,8.21679444444444,35,1,850,"nej",NA,"2022:05:06","1179","ja","ja","Fytoplankton","ja","ja",NA,"56°4,67 N","56DEGR_4MINUT_40.2SECONDS","8°13,46 Ø","8DEGR_13MINUT_0.46SECONDS","MST2021007","1030lokaltid",NA,"1120lokaltid","1130lokaltid",NA,8.21679444444444,56.0778333333333,"MST2021007"
"26","MST2021008","KREHA_GERPE","Penelope","MJL",2022-05-03,"91320001_RingkoebingFjord",56.0778333333333,8.21679444444444,35,1,800,"nej",NA,"2022:05:06","1179","ja","ja","Fytoplankton","ja","ja","ErangivetMST2021_009paafilterproeven
IkkeuniktIDProevefra720oeresundnordaabnedelogsaanavngivetMST2021_009paafilterproeven","56°4,67 N","56DEGR_4MINUT_40.2SECONDS","8°13,46 Ø","8DEGR_13MINUT_0.46SECONDS","MST2021008","1030lokaltid",NA,"1110lokaltid","1130lokaltid",NA,8.21679444444444,56.0778333333333,"MST2021008"
"27","MST1040","Gerpe_Kreha","Penelope","MJL",2022-08-22,"91320001_RingkoebingFjord",56.0771333333333,8.21823333333333,35,1,0,"nej",NA,"2022:08:25","2001","ja","ja","Fytoplankton","ja","ja",NA,"56°4,628 N","56DEGR_4MINUT_37.68SECONDS","8°13,564 Ø","8DEGR_13MINUT_5.64SECONDS","MST1040","1043lokaltid",NA,"1117lokaltid","1121lokaltid",NA,8.21823333333333,56.0771333333333,"MST1040"
"28","MST2021050","Gerpe_Kreha","Penelope","MJL",2022-08-22,"91320001_RingkoebingFjord",56.0771333333333,8.21823333333333,35,1,900,"nej",NA,"2022:08:25","2001","ja","ja","Fytoplankton","ja","ja",NA,"56°4,628 N","56DEGR_4MINUT_37.68SECONDS","8°13,564 Ø","8DEGR_13MINUT_5.64SECONDS","MST2021050","1043lokaltid",NA,"1059lokaltid","1103lokaltid",NA,8.21823333333333,56.0771333333333,"MST2021050"
"29","MST2022039","JensDeding","Jollen","OJL",2022-10-18,"93410108_Kobberhagekystarealer",56.1664666666667,10.7350416666667,75,65,1440,"N_A","N_A","2022:10:27","13","ja","ja","Makroalger","ja","ja",NA,"56°09,988 N","56DEGR_09MINUT_59.28SECONDS","10°44,615","010DEGR_44MINUT_6.15SECONDS","MST2022039","1235lokaltid",NA,"1248lokaltid","1252lokaltid",NA,10.7350416666667,56.1664666666667,"MST2022039"
"30","MST2022038","JensDeding","Jollen","OJL",2022-10-18,"93410108_Kobberhagekystarealer",56.1664666666667,10.7350416666667,75,65,1500,"N_A","N_A","2022:10:27","13","ja","ja","Makroalger","ja","ja",NA,"56°09,988 N","56DEGR_09MINUT_59.28SECONDS","10°44,615","010DEGR_44MINUT_6.15SECONDS","MST2022038","1258lokaltid",NA,"1310lokaltid","1314lokaltid",NA,10.7350416666667,56.1664666666667,"MST2022038"
"31","MST2021098","RABIL","Sif","STO",2022-02-28,"99000049_910Bornholmaabnedel",55.2495,15.9669222222222,887,1,1500,"ja","51","2022:03:05","389","ja","ja","Fyto_ogzooplankton","ja","ja",NA,"55°14'97 N","55DEGR_14MINUT_58.2SECONDS","015°58'92 Ø","015DEGR_58MINUT_0.92SECONDS","MST2021098","1628utc",NA,"1655utc","1655utc",NA,15.9669222222222,55.2495,"MST2021098"
"32","MST2021090","RABIL","Sif","STO",2022-02-28,"99000049_910Bornholmaabnedel",55.2495,15.9669222222222,887,1,1500,"ja","51","2022:03:05","389","ja","ja","Fyto_ogzooplankton","ja","ja",NA,"55°14'97 N","55DEGR_14MINUT_58.2SECONDS","015°58'92 Ø","015DEGR_58MINUT_0.92SECONDS","MST2021090","1628utc",NA,"1707utc","1707utc",NA,15.9669222222222,55.2495,"MST2021090"
"33","MST011","KRMSK","Frigg","OJL",2022-03-08,"93500119_HevringBugt",56.6676166666667,10.6021888888889,148,138,1500,"nej",NA,"2022:03:11","437","ja","ja","Bundfauna","ja","ja",NA,"56°40'057 N","56DEGR_40MINUT_3.42SECONDS","010°36'788 Ø","010DEGR_36MINUT_7.88SECONDS","MST011","0752utc",NA,"0816utc","0817utc",NA,10.6021888888889,56.6676166666667,"MST011"
"34","MST018","KRMSK","Frigg","OJL",2022-03-08,"93500119_HevringBugt",56.6676166666667,10.6021888888889,148,138,1500,"nej",NA,"2022:03:11","437","ja","ja","Bundfauna","ja","ja",NA,"56°40'057 N","56DEGR_40MINUT_3.42SECONDS","010°36'788 Ø","010DEGR_36MINUT_7.88SECONDS","MST018","0752utc",NA,"0841utc","0842utc",NA,10.6021888888889,56.6676166666667,"MST018"
"35","MST566","GERPE","Musling","NJL",2022-03-14,"93720041_NibeBredningogLangerak",57.02475,9.63458611111111,29,24,800,"nej",NA,"2022:03:17","406","ja","ja","Bundfauna","ja","ja",NA,"57°01'485 N","57DEGR_01MINUT_29.1SECONDS","009°38'451 Ø","009DEGR_38MINUT_4.51SECONDS","MST566","NA",NA,"NA","NA",NA,9.63458611111111,57.02475,"MST566"
"36","MST263","GERPE","Musling","NJL",2022-03-14,"93720041_NibeBredningogLangerak",57.02475,9.63458611111111,29,24,750,"nej",NA,"2022:03:17","406","ja","ja","Bundfauna","ja","ja",NA,"57°01'485 N","57DEGR_01MINUT_29.1SECONDS","009°38'451 Ø","009DEGR_38MINUT_4.51SECONDS","MST263","NA",NA,"NA","NA",NA,9.63458611111111,57.02475,"MST263"
"37","MST2021005","JAROB","Frigg","SYD",2022-04-19,"95130028_VejleFjord",55.7021333333333,9.65113333333333,75,61,600,"ja","08","2022:04:26","785","ja","ja","Bundfauna","ja","ja","Filtrereti15min_filtermegetbeskidt","55°42'128 N","55DEGR_42MINUT_7.68SECONDS","009°39'408 Ø","009DEGR_39MINUT_4.08SECONDS","MST2021005","0743utc",NA,"0813utc","0815utc",NA,9.65113333333333,55.7021333333333,"MST2021005"
"38","MST2021004","JAROB","Frigg","SYD",2022-04-19,"95130028_VejleFjord",55.7021333333333,9.65113333333333,75,61,1300,"ja","08","2022:04:26","785","ja","ja","Bundfauna","ja","ja",NA,"55°42'128 N","55DEGR_42MINUT_7.68SECONDS","009°39'408 Ø","009DEGR_39MINUT_4.08SECONDS","MST2021004","0743utc",NA,"0832utc","0836utc",NA,9.65113333333333,55.7021333333333,"MST2021004"
"39","MST2021021","RABIL","Sif","SJL",2022-04-19,"97120028_BF09",56.5093333333333,12.4267166666667,129,12,1200,"nej",NA,"2022:05:20","63","ja","ja","Bundfauna","ja","ja",NA,"55°29'6156 N","55DEGR_29MINUT_3693.6SECONDS","012°25'3618 Ø","012DEGR_25MINUT_36.18SECONDS","MST2021021","0950utc",NA,"1038utc","1038utc",NA,12.4267166666667,56.5093333333333,"MST2021021"
"40","MST2021014","RABIL","Sif","SJL",2022-04-21,"93100055_Kattegat",57.2541666666667,11.9674888888889,287,277,1250,"ja","46","2022:04:26","573","ja","ja","Bundfauna","ja","ja",NA,"56°14'6125 N","56DEGR_14MINUT_3675SECONDS","011°58'296 Ø","011DEGR_58MINUT_2.96SECONDS","MST2021014","1031utc",NA,"1110utc","1110utc",NA,11.9674888888889,57.2541666666667,"MST2021014"
"41","MST2021011","KRISO","Sif","SYD",2022-04-28,"95700008_SoenderborgBugt",55.2081666666667,9.83005555555556,292,282,1425,"ja","12","2022:04:28","486","ja","ja","Bundfauna","ja","ja",NA,"54°50'2249 N","54DEGR_50MINUT_1349.4SECONDS","009°49'4820 Ø","009DEGR_49MINUT_48.2SECONDS","MST2021011","0737utc",NA,"0806utc","0808utc",NA,9.83005555555556,55.2081666666667,"MST2021011"
"42","MST2021030","KRISO","Sif","SYD",2022-04-28,"95700008_SoenderborgBugt",55.2081666666667,9.83005555555556,292,282,1425,"ja","12","2022:04:28","486","ja","ja","Bundfauna","ja","ja",NA,"54°50'2249 N","54DEGR_50MINUT_1349.4SECONDS","009°49'4820 Ø","009DEGR_49MINUT_48.2SECONDS","MST2021030","0737utc",NA,"0828utc","0830utc",NA,9.83005555555556,55.2081666666667,"MST2021030"
"43","MST2021019","KRISO","Sif","FYN",2022-04-29,"90000961_ArkonaW",55.018,13.3006694444444,455,445,800,"ja","37","2022:05:17","569","ja","ja","Bundfauna","ja","ja",NA,"55°00'0108 N","55DEGR_00MINUT_64.8SECONDS","013°18'0241 Ø","013DEGR_18MINUT_2.41SECONDS","MST2021019","1118utc",NA,"1151utc","1152utc",NA,13.3006694444444,55.018,"MST2021019"
"44","MST2021015","KRISO","Sif","FYN",2022-04-29,"90000961_ArkonaW",55.018,13.3006694444444,455,445,1200,"ja","37","2022:05:17","569","ja","ja","Bundfauna","ja","ja",NA,"55°00'0108 N","55DEGR_00MINUT_64.8SECONDS","013°18'0241 Ø","013DEGR_18MINUT_2.41SECONDS","MST2021015","1118utc",NA,"1214utc","1215utc",NA,13.3006694444444,55.018,"MST2021015"
"45","MST2021002","KRISO","Sif","SJL",2022-05-02,"97200002_720oeresundnordaabnedel",55.8666666666667,12.75,518,1,1500,"ja","105","2022:05:06","998","ja","ja","Fyto_ogzooplankton","ja","ja",NA,"55°52'0000 N","55DEGR_52MINUT_0SECONDS","012°45'0000 Ø","012DEGR_45MINUT_0SECONDS","MST2021002","1210utc",NA,"1231utc","1233utc",NA,12.75,55.8666666666667,"MST2021002"
"46","MST2021026","KRISO","Sif","SJL",2022-05-02,"97200002_720oeresundnordaabnedel",55.8666666666667,12.75,518,1,1500,"ja","105","2022:05:06","998","ja","ja","Fyto_ogzooplankton","ja","ja",NA,"55°52'0000 N","55DEGR_52MINUT_0SECONDS","012°45'0000 Ø","012DEGR_45MINUT_0SECONDS","MST2021026","1210utc",NA,"1243utc","1245utc",NA,12.75,55.8666666666667,"MST2021026"
"47","MST2021003","KRISO","Sif","SJL",2022-05-03,"93000001_300Kattegataabnedel",57.5,11.1605555555556,40,1,1500,"ja","14","2022:05:06","108","ja","ja","Fytoplankton","ja","ja",NA,"56°07'8300 N","56DEGR_07MINUT_4980SECONDS","011°09'3800 Ø","011DEGR_09MINUT_38SECONDS","MST2021003","0834utc",NA,"0850utc","0852utc",NA,11.1605555555556,57.5,"MST2021003"
"48","MST2021020","KRISO","Sif","SJL",2022-05-03,"93000001_300Kattegataabnedel",57.5,11.1605555555556,40,1,1500,"ja","14","2022:05:06","108","ja","ja","Fytoplankton","ja","ja",NA,"56°07'8300 N","56DEGR_07MINUT_4980SECONDS","011°09'3800 Ø","011DEGR_09MINUT_38SECONDS","MST2021020","0834utc",NA,"0904utc","0906utc",NA,11.1605555555556,57.5,"MST2021020"
"49","MST2021016","KRISO","Sif","SJL",2022-05-04,"96220322_KarrebaebsmindBugt",57.4095,11.1605555555556,118,108,1500,"ja","7","2022:05:06","908","ja","ja","Bundfauna","ja","ja",NA,"56°07'7757 N","56DEGR_07MINUT_4654.2SECONDS","011°09'3800 Ø","011DEGR_09MINUT_38SECONDS","MST2021016","0829utc",NA,"0900utc","0902utc",NA,11.1605555555556,57.4095,"MST2021016"
"50","MST2022064","KRISO","Sif","FYN",2022-05-05,"95600002_FYN6300043",56.4183333333333,10.1673055555556,333,1,1500,"ja","9","2022:05:06","1065","ja","ja","Fytoplankton","ja","ja",NA,"54°59'8610 N","54DEGR_59MINUT_5166SECONDS","010°09'6230 Ø","010DEGR_09MINUT_62.3SECONDS","MST2022064","0845utc",NA,"0903utc","0905utc",NA,10.1673055555556,56.4183333333333,"MST2022064"
"51","MST2021065","KRISO","Sif","FYN",2022-05-05,"95600002_FYN6300043",56.4183333333333,10.1673055555556,333,1,1500,"ja","9","2022:05:06","1065","ja","ja","Fytoplankton","ja","ja",NA,"54°59'8610 N","54DEGR_59MINUT_5166SECONDS","010°09'6230 Ø","010DEGR_09MINUT_62.3SECONDS","MST2021065","0845utc",NA,"0918utc","0920utc",NA,10.1673055555556,56.4183333333333,"MST2021065"
"52","MST2021013","NILTH","Frigg","NJL",2022-05-06,"93000005_Helcom409",57.46,10.7950833333333,15,1,1550,"ja","58","2022:05:10","10151","ja","ja","Fyto_ogzooplankton","ja","ja",NA,"56°51'3660 N","56DEGR_51MINUT_2196SECONDS","010°47'4230 Ø","010DEGR_47MINUT_42.3SECONDS","MST2021013","0701utc",NA,"0721utc","0722utc",NA,10.7950833333333,57.46,"MST2021013"
"53","MST2021022","NILTH","Frigg","NJL",2022-05-06,"93000005_Helcom409",57.46,10.7950833333333,15,1,1500,"ja","58","2022:05:10","10151","ja","ja","Fyto_ogzooplankton","ja","ja",NA,"56°51'3660 N","56DEGR_51MINUT_2196SECONDS","010°47'4230 Ø","010DEGR_47MINUT_42.3SECONDS","MST2021022","0701utc",NA,"0735utc","0738utc",NA,10.7950833333333,57.46,"MST2021022"
