ScientificName;AphiaID;Synonym;SynonymID;Kingdom;Phylum;Class;Order;Family;Genus;locality;locationID;higherGeography;higherGeographyID;recordStatus;typeStatus;establishmentMeans;decimalLatitude;decimalLongitude;qualityStatus
Timoclea roemeriana;141930;Timoclea roemeriana;141930;Animalia;Mollusca;Bivalvia;Venerida;Veneridae;Timoclea;European waters (ERMS scope);http://marineregions.org/mrgid/7130;North Atlantic Ocean;http://marineregions.org/mrgid/1912;valid;NA;NA;NA;NA;unreviewed
Irus irus;141917;Irus irus;141917;Animalia;Mollusca;Bivalvia;Venerida;Veneridae;Irus;European waters (ERMS scope);http://marineregions.org/mrgid/7130;North Atlantic Ocean;http://marineregions.org/mrgid/1912;valid;NA;NA;NA;NA;unreviewed
Irus irus;141917;Irus irus;141917;Animalia;Mollusca;Bivalvia;Venerida;Veneridae;Irus;British Isles;http://marineregions.org/mrgid/3140;United Kingdom;http://marineregions.org/mrgid/2208;valid;NA;NA;NA;NA;unreviewed
Irus irus;141917;Irus irus;141917;Animalia;Mollusca;Bivalvia;Venerida;Veneridae;Irus;Azores Exclusive Economic Zone;http://marineregions.org/mrgid/8361;North Atlantic Ocean;http://marineregions.org/mrgid/1912;valid;NA;NA;NA;NA;unreviewed
Callista chione;141906;Callista chione;141906;Animalia;Mollusca;Bivalvia;Venerida;Veneridae;Callista;European waters (ERMS scope);http://marineregions.org/mrgid/7130;North Atlantic Ocean;http://marineregions.org/mrgid/1912;valid;NA;NA;NA;NA;unreviewed
Callista chione;141906;Callista chione;141906;Animalia;Mollusca;Bivalvia;Venerida;Veneridae;Callista;Belgian Exclusive Economic Zone;http://marineregions.org/mrgid/3293;Belgium;http://marineregions.org/mrgid/14;valid;NA;NA;NA;NA;unreviewed
Callista chione;141906;Callista chione;141906;Animalia;Mollusca;Bivalvia;Venerida;Veneridae;Callista;Channel Islands;http://marineregions.org/mrgid/2464;United Kingdom;http://marineregions.org/mrgid/2208;valid;NA;NA;NA;NA;unreviewed
Callista chione;141906;Callista chione;141906;Animalia;Mollusca;Bivalvia;Venerida;Veneridae;Callista;South Coast of England;http://marineregions.org/mrgid/14301;United Kingdom;http://marineregions.org/mrgid/2208;valid;NA;NA;NA;NA;unreviewed
Callista chione;141906;Callista chione;141906;Animalia;Mollusca;Bivalvia;Venerida;Veneridae;Callista;North Wales;http://marineregions.org/mrgid/17956;United Kingdom;http://marineregions.org/mrgid/2208;valid;NA;NA;NA;NA;unreviewed
Callista chione;141906;Callista chione;141906;Animalia;Mollusca;Bivalvia;Venerida;Veneridae;Callista;Wimereux;http://marineregions.org/mrgid/979;France;http://marineregions.org/mrgid/17;doubtful;NA;NA;NA;NA;unreviewed
