"","Vandprvenummer_unikt_nummer_U_Pr_Nr","Ansvarlig_prvetager_navn_Navn_Inds","Skib_skib","Institution_Inst","dato_dato_inds","lokalitet_navn_omrde_Lok_omr","position_breddegrad_lok_pos","position_lngdegrad_lok_pos","Max_vanddybde_p_lokalitet_max_Dyb","Dybde_hvor_vandprve_er_indhentet_fra_Dyb_Str","Volumen_vand_filtreret_Vwf","Er_vandsjlen_lagdelt_ja_nej","Dybde_for_lagdelingen_Dyb_lagd","dato_hvor_vandprve_er_overfrt_fra_15_C_til_80_C_dato_80C","Temperatur_p_vandprve_ved_indsamling_Temp_Inds","Er_vandhenter_behrigt_skyllet_inden_vandprven_blev_indsamlet_ja_nej","Er_pose_og_filter_udskiftet_i_Amphiltrator_inden_prven_er_blevet_filtreret_ja_nej","Vandprven_blev_indsamlet_samtidigt_med_bundfauna_makroalge_zooplankton_fytoplankton_fiskeri","Restvand_er_presset_ud_af_filteret_inden_indfrysning_ja_nej","Zip_lock_pose_med_filter_er_markeret_med_dato_unikt_nummer_og_lokalitet_ja_nej","Bemrkninger","position_breddegrad_lok_pos03","position_breddegrad_lok_pos02","position_lngdegrad_lok_pos03","position_lngdegrad_lok_pos02","tidspunkt_hvor_vandprve_er_indsamlet_tdspkt_inds_01","tidspunkt_hvor_vandprve_er_filtreret_tdspkt_filt","tidspunkt_hvor_vandprve_er_indfrosset_15_C_tdspkt_indfr_01","tidspunkt_hvor_vandprve_er_indfrosset_15_C_tdspkt_indfr_02"
"74","MST417","amlin","ABRA","Storstroem","2019-09-24","0401011FemernbaeltVest",54.7346166666667,11.0846805555556,5.2,4.2,1000,"nej","na","2019-09-25","16","ja","ja","aalegraes","ja","ja",NA,"54 44,077","54DEGR_44MINUT_4.62SECONDS","11 05,485","011DEGR_05MINUT_4.85SECONDS","10:05","10:30","NA","lagt i fryser efter filtrering"
"75","MST509","amlin","ABRA","Storstroem","2019-09-24","0401011FemernbaeltVest",54.7346166666667,11.0846805555556,5.2,4.2,1350,"nej","na","2019-09-25","16","ja","ja","aalegraes","ja","ja",NA,"54 44,077","54DEGR_44MINUT_4.62SECONDS","11 05,485","011DEGR_05MINUT_4.85SECONDS","10:05","10:39","NA","lagt i fryser efter filtrering"
"76","MST382","amlin","ABRA","Storstroem","2019-08-14","1001027Hovedskov",54.74,12.0857527777778,10.6,9.6,1250,"nej","na","2019-08-15","17","ja","ja","aalegraes","ja","ja",NA,"54 44,400","54DEGR_44MINUT_24SECONDS","12 05,871","012DEGR_05MINUT_8.71SECONDS","12:00","12:58","NA","lagt i fryser efter filtrering"
"77","MST368","amlin","ABRA","Storstroem","2019-08-14","1001027Hovedskov",54.74,12.0857527777778,10.6,9.6,1250,"nej","na","2019-08-15","17","ja","ja","aalegraes","ja","ja",NA,"54 44,400","54DEGR_44MINUT_24SECONDS","12 05,871","012DEGR_05MINUT_8.71SECONDS","12:00","12:49","NA","lagt i fryser efter filtrering"
"78","MST367","amlin","ABRA","Storstroem","2019-08-14","1001027Hovedskov",54.74,12.0857527777778,10.6,9.6,1300,"nej","na","2019-08-15","17","ja","ja","aalegraes","ja","ja",NA,"54 44,400","54DEGR_44MINUT_24SECONDS","12 05,871","012DEGR_05MINUT_8.71SECONDS","12:00","12:39","NA","lagt i fryser efter filtrering"
"79","MST461","amlin","Graasaelen","Storstroem","2019-06-27","0101142EnoeSyd",55.16155,11.6513194444444,4.8,3,1350,"nej","na","2019-07-01","18.98","ja","ja","Makroalger","ja","ja",NA,"55 09,693","55DEGR_09MINUT_41.58SECONDS","11 39,475","011DEGR_39MINUT_4.75SECONDS","11:06","12:08","NA","lagt i fryser efter filtrering"
"80","MST567","amlin","Graasaelen","Storstroem","2019-06-27","0101142EnoeSyd",55.16155,11.6513194444444,4.8,3,1150,"nej","na","2019-07-01","18.98","ja","ja","Makroalger","ja","ja",NA,"55 09,693","55DEGR_09MINUT_41.58SECONDS","11 39,475","011DEGR_39MINUT_4.75SECONDS","11:06","12:20","NA","lagt i fryser efter filtrering"
"81","MST468","amlin","Graasaelen","Storstroem","2019-06-27","0101142EnoeSyd",55.16155,11.6513194444444,4.8,3,1200,"nej","na","2019-07-01","18.98","ja","ja","Makroalger","ja","ja",NA,"55 09,693","55DEGR_09MINUT_41.58SECONDS","11 39,475","011DEGR_39MINUT_4.75SECONDS","11:06","12:30","NA","lagt i fryser efter filtrering"
"82","MST484","SteenKrogsboellstkro","aaboen","MSTStorstroem","2019-05-01","BRKBMPK2_910Bornholmaabnedel",55.25,15.59,89,1,1200,"ja","55","2019-05-13","6.5","ja","ja","Fytoplankton_Zooplankton","ja","ja","Fryser var uden strøm på hjem-sejladsen. Temperaturen steg fra -18°C til -4°C i ca. 3 timer.","5515","55DEGR_15MINUT_0SECONDS","1559","015DEGR_35MINUT_24SECONDS","11:20","12:10","12:10","- prven lagt p frost umiddelbart efter filtering"
"83","MST516","SteenKrogsboellstkro","aaboen","MSTStorstroem","2019-05-01","BRKBMPK2_910Bornholmaabnedel",55.25,15.59,89,1,1550,"ja","55","2019-05-13","6.5","ja","ja","Fytoplankton_Zooplankton","ja","ja","Fryser var uden strøm på hjem-sejladsen. Temperaturen steg fra -18°C til -4°C i ca. 3 timer.","5515","55DEGR_15MINUT_0SECONDS","1559","015DEGR_35MINUT_24SECONDS","11:20","12:30","12:30","- prven lagt p frost umiddelbart efter filtering"
