"","Vandprvenummer_unikt_nummer_U_Pr_Nr","Ansvarlig_prvetager_navn_Navn_Inds","Skib_skib","Institution_Inst","dato_dato_inds","lokalitet_navn_omrde_Lok_omr","position_breddegrad_lok_pos","position_lngdegrad_lok_pos","Max_vanddybde_p_lokalitet_max_Dyb","Dybde_hvor_vandprve_er_indhentet_fra_Dyb_Str","Volumen_vand_filtreret_Vwf","Er_vandsjlen_lagdelt_ja_nej","Dybde_for_lagdelingen_Dyb_lagd","dato_hvor_vandprve_er_overfrt_fra_15_C_til_80_C_dato_80C","Temperatur_p_vandprve_ved_indsamling_Temp_Inds","Er_vandhenter_behrigt_skyllet_inden_vandprven_blev_indsamlet_ja_nej","Er_pose_og_filter_udskiftet_i_Amphiltrator_inden_prven_er_blevet_filtreret_ja_nej","Vandprven_blev_indsamlet_samtidigt_med_bundfauna_makroalge_zooplankton_fytoplankton_fiskeri","Restvand_er_presset_ud_af_filteret_inden_indfrysning_ja_nej","Zip_lock_pose_med_filter_er_markeret_med_dato_unikt_nummer_og_lokalitet_ja_nej","Bemrkninger","position_breddegrad_lok_pos03","position_breddegrad_lok_pos02","position_lngdegrad_lok_pos03","position_lngdegrad_lok_pos02","tidspunkt_hvor_vandprve_er_indsamlet_tdspkt_inds_01","tidspunkt_hvor_vandprve_er_filtreret_tdspkt_filt","tidspunkt_hvor_vandprve_er_indfrosset_15_C_tdspkt_indfr_01","tidspunkt_hvor_vandprve_er_indfrosset_15_C_tdspkt_indfr_02"
"11","MST398","PHELD_ALKRI","Daphne","MST_STO","2020-06-04","KarrebaeksmindeBugt",55.1248333333333,11.5334611111111,12.4,11.3,1600,"ja","9.5",NA,"13.9","Ja","Ja","BUNDFAUNA","ja","ja",NA,"55°07`49 N","55DEGR_07MINUT_29.4SECONDS","011°32`46 Ø","011DEGR_32MINUT_0.46SECONDS","14:10","14:51","14:52",NA
"12","MST558","PHELD_ALKRI","Daphne","MST_STO","2020-06-04","KarrebaeksmindeBugt",55.1248333333333,11.5334611111111,12.4,11.3,1550,"ja","9.5",NA,"13.9","Ja","Ja","BUNDFAUNA","ja","ja",NA,"55°07`49 N","55DEGR_07MINUT_29.4SECONDS","011°32`46 Ø","011DEGR_32MINUT_0.46SECONDS","14:10","15:06","15:07",NA
"13","MST395","PHELD_NIFSO","Daphne","MST_FYN","2020-06-10","DMU444Arkona",55.0001666666667,13.3000083333333,47,45.5,1600,"ja","34",NA,"10.18","Ja","Ja","BUNDFAUNA","ja","ja",NA,"55°00`01 N","55DEGR_00MINUT_0.6SECONDS","013°18`03 Ø","013DEGR_18MINUT_0.03SECONDS","12:25","12:46","12:49",NA
"14","MST549","PHELD_NIFSO","Daphne","MST_FYN","2020-06-10","DMU444Arkona",55.0001666666667,13.3000083333333,47,45.5,1600,"ja","34",NA,"10.18","Ja","Ja","BUNDFAUNA","ja","ja",NA,"55°00`01 N","55DEGR_00MINUT_0.6SECONDS","013°18`03 Ø","013DEGR_18MINUT_0.03SECONDS","12:25","13:02","13:05",NA
"15","MST565","PHELD_NIFSO","Daphne","MST_FYN","2020-06-10","DMU444Arkona",55.0001666666667,13.3000083333333,47,45.5,1650,"ja","34",NA,"10.18","Ja","Ja","BUNDFAUNA","ja","ja",NA,"55°00`01 N","55DEGR_00MINUT_0.6SECONDS","013°18`03 Ø","013DEGR_18MINUT_0.03SECONDS","12:25","13:20","13:22",NA
"16","MST552","PHELD_ALKRI","Daphne","MST_FYN","2020-06-25","DMU444Arkona",55.0001666666667,13.3,45,1,900,"ja","42",NA,"17.5","Ja","Ja","Plankton","ja","ja",NA,"55°59`98 N","55DEGR_59MINUT_58.8SECONDS","013°18`00 Ø","013DEGR_18MINUT_0SECONDS","12:16","12:35","12:37",NA
"17","MST202","PHELD_ALKRI","Daphne","MST_FYN","2020-06-25","DMU444Arkona",55.0001666666667,13.3,45,1,1200,"ja","42",NA,"17.5","Ja","Ja","Plankton","ja","ja",NA,"55°00`01 N","55DEGR_00MINUT_0.6SECONDS","013°18`00 Ø","013DEGR_18MINUT_0SECONDS","12:16","12:55","12:58",NA
"18","MST539","PHELD_ALKRI","Daphne","MST_FYN","2020-06-25","DMU444Arkona",55.0001666666667,13.3,45,1,1300,"ja","42",NA,"17.5","Ja","Ja","Plankton","ja","ja",NA,"55°00`01 N","55DEGR_00MINUT_0.6SECONDS","013°18`00 Ø","013DEGR_18MINUT_0SECONDS","12:16","13:15","13:18",NA
"19","MST434","Alkri","DAPHNE","MST_SjaeLLAND","2020-08-31","KBH431",55.862,12.75,50.1,1,1450,"ja","10",NA,"18.5","Ja","Ja","Plankton","ja","ja",NA,"55°51'72 N","55DEGR_51MINUT_43.2SECONDS","012°45'00 Ø","012DEGR_45MINUT_0SECONDS","11:05","11:20","11:22",NA
"20","MST437","Alkri","DAPHNE","MST_SjaeLLAND","2020-08-31","KBH431",55.862,12.75,50.1,1,1650,"ja","10",NA,"18.5","Ja","Ja","Plankton","ja","ja",NA,"55°51'72 N","55DEGR_51MINUT_43.2SECONDS","012°45'00 Ø","012DEGR_45MINUT_0SECONDS","11:05","11:45","11:47",NA
"21","MST547","Alkri","DAPHNE","MST_SjaeLLAND","2020-08-31","KBH431",55.862,12.75,50.1,1,1650,"ja","10",NA,"18.5","Ja","Ja","Plankton","ja","ja",NA,"55°51'72 N","55DEGR_51MINUT_43.2SECONDS","012°45'00 Ø","012DEGR_45MINUT_0SECONDS","11:05","12:00","11:02",NA
"22","MST459","Alkri","DAPHNE","MST_SjaeLLAND","2020-09-01","VSJ20925_Gniben",56.1318333333333,11.1501472222222,46,1,1550,"ja","12",NA,"18.3","Ja","Ja","Plankton","ja","ja",NA,"56°07`91 N","56DEGR_07MINUT_54.6SECONDS","011°09`53 Ø","011DEGR_09MINUT_0.53SECONDS","09:55","10:10","10:12",NA
"23","MST478","Alkri","DAPHNE","MST_SjaeLLAND","2020-09-01","VSJ20925_Gniben",56.1318333333333,11.1501472222222,46,1,1650,"ja","12",NA,"18.3","Ja","Ja","Plankton","ja","ja",NA,"56°07`91 N","56DEGR_07MINUT_54.6SECONDS","011°09`53 Ø","011DEGR_09MINUT_0.53SECONDS","09:55","10:30","10:32",NA
"24","MST494","Alkri","DAPHNE","MST_SjaeLLAND","2020-09-01","VSJ20925_Gniben",56.1318333333333,11.1501472222222,46,1,1550,"ja","12",NA,"18.3","Ja","Ja","Plankton","ja","ja",NA,"56°07`91 N","56DEGR_07MINUT_54.6SECONDS","011°09`53 Ø","011DEGR_09MINUT_0.53SECONDS","09:55","10:45","10:47",NA
"25","MST406","Alkri","DAPHNE","MST_FYN","2020-09-03","DMU444Arkona",55.0001666666667,13.3,45,1,1550,"ja","39",NA,"NA","Ja","Ja","Plankton","ja","ja",NA,"55°59`98 N","55DEGR_59MINUT_58.8SECONDS","013°18`00 Ø","013DEGR_18MINUT_0SECONDS","11:15","11:30","11:32",NA
"26","MST426","Alkri","DAPHNE","MST_FYN","2020-09-03","DMU444Arkona",55.0001666666667,13.3,45,1,1650,"ja","39",NA,"NA","Ja","Ja","Plankton","ja","ja",NA,"55°00`01 N","55DEGR_00MINUT_0.6SECONDS","013°18`00 Ø","013DEGR_18MINUT_0SECONDS","11:15","11:45","11:47",NA
"27","MST508","Alkri","DAPHNE","MST_FYN","2020-09-03","DMU444Arkona",55.0001666666667,13.3,45,1,1350,"ja","39",NA,"18.85","Ja","Ja","Plankton","ja","ja",NA,"55°00`01 N","55DEGR_00MINUT_0.6SECONDS","013°18`00 Ø","013DEGR_18MINUT_0SECONDS","11:15","12:05","12:07",NA
"28","MST460","SvendaageBendtsen","MagretheGaardbo","Nordjylland","2020-05-15","HirtshalsNOR7715",57.6078333333333,9.90025555555555,18,NA,1400,"nej",NA,"2020-09-09","17.5","ja","ja","Fyto_ogzooplankton0_10mdybdeintegreretproeve","ja","ja","Vandprøverne er nedkølet og transporteret til Aalborg hvor filtreringen skete","5736.47","57DEGR_36MINUT_28.2SECONDS","954.92","009DEGR_54MINUT_0.92SECONDS","10:28","12:30","12:45",NA
"29","MST156","SvendaageBendtsen","MagretheGaardbo","Nordjylland","2020-05-15","HirtshalsNOR7715",57.6078333333333,9.90025555555555,18,NA,1400,"nej",NA,"2020-09-09","17.5","ja","ja","Fyto_ogzooplankton0_10mdybdeintegreretproeve","ja","ja","Vandprøverne er nedkølet og transporteret til Aalborg hvor filtreringen skete","5736.47","57DEGR_36MINUT_28.2SECONDS","954.92","009DEGR_54MINUT_0.92SECONDS","10:28","12:45","13:00",NA
"30","MST455","SvendaageBendtsen","MagretheGaardbo","Nordjylland","2020-05-15","HirtshalsNOR7715",57.6078333333333,9.90025555555555,18,NA,1400,"nej",NA,"2020-09-09","17.5","ja","ja","Fyto_ogzooplankton0_10mdybdeintegreretproeve","ja","ja","Vandprøverne er nedkølet og transporteret til Aalborg hvor filtreringen skete","5736.47","57DEGR_36MINUT_28.2SECONDS","954.92","009DEGR_54MINUT_0.92SECONDS","10:28","13:00","13:15",NA
"31","MST402","KristianMcGregorSkelmose","LivII","MSTFYN","2020-03-09","6500351_DSoe",55.0294777777778,10.4241472222222,21,20,1400,"ja","9","2020-03-09","5.14","ja","ja","Bundfauna","ja","ja",NA,"5501.7686","55DEGR_01MINUT_46.12SECONDS","1025.2693","010DEGR_25MINUT_26.93SECONDS","08:29","08:48-09:03","NA","straks efter filtrering"
"32","MST535","KristianMcGregorSkelmose","LivII","MSTFYN","2020-03-09","6500351_DSoe",55.0294777777778,10.4241472222222,21,20,1400,"ja","9","2020-03-09","5.14","ja","ja","Bundfauna","ja","ja",NA,"5501.7686","55DEGR_01MINUT_46.12SECONDS","1025.2693","010DEGR_25MINUT_26.93SECONDS","08:29","09:07-09:21","NA","straks efter filtrering"
"33","MST537","KristianMcGregorSkelmose","LivII","MSTFYN","2020-03-09","6500351_DSoe",55.0294777777778,10.4241472222222,21,20,1200,"ja","9","2020-03-09","5.14","ja","ja","Bundfauna","ja","ja",NA,"5501.7686","55DEGR_01MINUT_46.12SECONDS","1025.2693","010DEGR_25MINUT_26.93SECONDS","08:29","09:23-09:33","NA","straks efter filtrering"
"34","MST523","KristianMcGregorSkelmose","LivII","MSTFYN","2020-05-13","FYN6300043",54.9973333333333,10.1501527777778,35.6,1,1700,"ja","4+16",NA,"10.71","ja","Ja","fytoplanton","ja","ja",NA,"5459.84","54DEGR_59MINUT_50.4SECONDS","1009.55","010DEGR_09MINUT_0.55SECONDS","08:20","08:36","NA","straks efter filtrering"
"35","MST531","KristianMcGregorSkelmose","LivII","MSTFYN","2020-05-13","FYN6300043",54.9973333333333,10.1501527777778,35.6,1,1600,"ja","4+16",NA,"10.71","Ja","Ja","fytoplanton","ja","ja",NA,"5459.84","54DEGR_59MINUT_50.4SECONDS","1009.55","010DEGR_09MINUT_0.55SECONDS","08:20","08:51","NA","straks efter filtrering"
"36","MST533","KristianMcGregorSkelmose","LivII","MSTFYN","2020-05-13","FYN6300043",54.9973333333333,10.1501527777778,35.6,1,1600,"ja","4+16",NA,"10.71","Ja","Ja","fytoplanton","ja","ja",NA,"5459.84","54DEGR_59MINUT_50.4SECONDS","1009.55","010DEGR_09MINUT_0.55SECONDS","08:20","09:04","NA","straks efter filtrering"
"37","MST421","KristianMcGregorSkelmose","LivII","MSToeST","2020-05-15","ARH170006",56.1548694444444,10.3208805555556,16,1,1500,"ja","9.5",NA,"10.28","Ja","Ja","fytoplanton","ja","ja",NA,"5609.2921","56DEGR_09MINUT_17.53SECONDS","1019.1517","010DEGR_19MINUT_15.17SECONDS","09:48","10:06","NA","straks efter filtrering"
"38","MST432","KristianMcGregorSkelmose","LivII","MSToeST","2020-05-15","ARH170006",56.1548694444444,10.3208805555556,16,1,1450,"ja","9.5",NA,"10.28","ja","Ja","fytoplanton","ja","ja",NA,"5609.2921","56DEGR_09MINUT_17.53SECONDS","1019.1517","010DEGR_19MINUT_15.17SECONDS","09:48","10:26","NA","straks efter filtrering"
"39","MST530","KristianMcGregorSkelmose","LivII","MSToeST","2020-05-15","ARH170006",56.1548694444444,10.3208805555556,16,1,1300,"ja","9.5",NA,"10.28","ja","Ja","fytoplanton","ja","ja","1 times grænsen for filtrering overskredet med få minutter grundet teksniske udfordringer.","5609.2921","56DEGR_09MINUT_17.53SECONDS","1019.1517","010DEGR_19MINUT_15.17SECONDS","09:48","10:49","NA","straks efter filtrering"
"40","MST366","RasmusBillegrav","LivII","MSToeST","2020-05-18","VEJ006870",55.6745,10.08345,19.8,1,1550,"ja","10.5",NA,"10.7","ja","Ja","fytoplanton","ja","ja",NA,"5540.47","55DEGR_40MINUT_28.2SECONDS","1005.42","010DEGR_05MINUT_0.42SECONDS","07:16","07:53","NA","straks efter filtrering"
"41","MST377","RasmusBillegrav","LivII","MSToeST","2020-05-18","VEJ006870",55.6745,10.08345,19.8,1,1600,"ja","10.5",NA,"10.7","ja","Ja","fytoplanton","ja","ja",NA,"5540.47","55DEGR_40MINUT_28.2SECONDS","1005.42","010DEGR_05MINUT_0.42SECONDS","07:16","08:13","NA","straks efter filtrering"
"42","MST550","RasmusBillegrav","LivII","MSToeST","2020-05-18","VEJ006870",55.6745,10.08345,19.8,1,1150,"ja","10.5",NA,"10.7","ja","Ja","fytoplanton","ja","ja","1 times grænse for filtrring overskredet pga oplæring","5540.47","55DEGR_40MINUT_28.2SECONDS","1005.42","010DEGR_05MINUT_0.42SECONDS","07:16","08:31","NA","straks efter filtrering"
"43","MST353","janeRobertsen","LivII","MSTSYD","2020-05-27","FlensborgFjordYdreFFSB001",54.8410833333333,9.81681111111111,30,29,1400,"ja","13,0 og 21,0",NA,"6.85","ja","ja","Bundfauna","ja","ja",NA,"5450.465","54DEGR_50MINUT_27.9SECONDS","949.052","009DEGR_49MINUT_0.52SECONDS","05:50","06:18","NA","straks efter filtrering"
"44","MST357","janeRobertsen","LivII","MSTSYD","2020-05-27","FlensborgFjordYdreFFSB001",54.8410833333333,9.81681111111111,30,29,1500,"ja","13,0 og 21,0",NA,"6.85","ja","ja","Bundfauna","ja","ja",NA,"5450.465","54DEGR_50MINUT_27.9SECONDS","949.052","009DEGR_49MINUT_0.52SECONDS","05:50","06:36","NA","straks efter filtrering"
"45","MST365","janeRobertsen","LivII","MSTSYD","2020-05-27","FlensborgFjordYdreFFSB001",54.8410833333333,9.81681111111111,30,29,1500,"ja","13,0 og 21,0",NA,"6.85","ja","ja","Bundfauna","ja","ja",NA,"5450.465","54DEGR_50MINUT_27.9SECONDS","949.052","009DEGR_49MINUT_0.52SECONDS","05:50","06:50","NA","straks efter filtrering"
"46","MST376","janeRobertsen","LivII","MSTSYD","2020-05-28","VejleFjordindre_VF",55.7016,9.65158055555556,7.5,6.4,1200,"ja","3",NA,"9.44","ja","ja","Bundfauna","ja","ja",NA,"5542.096","55DEGR_42MINUT_5.76SECONDS","939.569","009DEGR_39MINUT_5.69SECONDS","10:35","10:58","NA","straks efter filtrering"
"47","MST378","janeRobertsen","LivII","MSTSYD","2020-05-28","VejleFjordindre_VF",55.7016,9.65158055555556,7.5,6.4,1300,"ja","3",NA,"9.44","ja","ja","Bundfauna","ja","ja",NA,"5542.096","55DEGR_42MINUT_5.76SECONDS","939.569","009DEGR_39MINUT_5.69SECONDS","10:35","11:15","NA","straks efter filtrering"
"48","MST405","janeRobertsen","LivII","MSTSYD","2020-05-28","VejleFjordindre_VF",55.7016,9.65158055555556,7.5,6.4,1300,"ja","3",NA,"9.44","ja","ja","Bundfauna","ja","ja",NA,"5542.096","55DEGR_42MINUT_5.76SECONDS","939.569","009DEGR_39MINUT_5.69SECONDS","10:35","11:34","NA","straks efter filtrering"
"49","MST370","KristianMcGregorSkelmose","LivII","MSToeST","2020-06-10","DJURSLANDoeST_HJELMDYB",56.1960916666667,10.7535388888889,12.9,11.9,1600,"JA","9.1999999999999993",NA,"10.29","JA","JA","Bundfauna","JA","JA",NA,"5611.7655","56DEGR_11MINUT_45.93SECONDS","1044.7274","010DEGR_44MINUT_72.74SECONDS","07:08","07:27","07:28",NA
"50","MST385","KristianMcGregorSkelmose","LivII","MSToeST","2020-06-10","DJURSLANDoeST_HJELMDYB",56.1960916666667,10.7535388888889,12.9,11.9,1600,"JA","9.1999999999999993",NA,"10.29","JA","JA","Bundfauna","JA","JA",NA,"5611.7655","56DEGR_11MINUT_45.93SECONDS","1044.7274","010DEGR_44MINUT_72.74SECONDS","07:08","07:42","07:43",NA
"51","MST557","KristianMcGregorSkelmose","LivII","MSToeST","2020-06-10","DJURSLANDoeST_HJELMDYB",56.1960916666667,10.7535388888889,12.9,11.9,1600,"JA","9.1999999999999993",NA,"10.29","JA","JA","Bundfauna","JA","JA",NA,"5611.7655","56DEGR_11MINUT_45.93SECONDS","1044.7274","010DEGR_44MINUT_72.74SECONDS","07:08","07:56","07:58",NA
"52","MST1025","RasmusBillegrav","LivII","MSTFYN","2020-08-10","FYN6300043",54.9979444444444,10.1516333333333,35.6,1,1700,"JA","8",NA,"21.12","JA","JA","fytoplanton","ja","ja",NA,"5459.8767","54DEGR_59MINUT_52.6SECONDS","1009.588","010DEGR_09MINUT_5.88SECONDS","09:35","09:53","NA","straks efter filtrering"
"53","MST1026","RasmusBillegrav","LivII","MSTFYN","2020-08-10","FYN6300043",54.9979444444444,10.1516333333333,35.6,1,1700,"JA","8",NA,"21.12","JA","JA","fytoplanton","ja","ja",NA,"5459.8767","54DEGR_59MINUT_52.6SECONDS","1009.588","010DEGR_09MINUT_5.88SECONDS","09:35","10:11","NA","straks efter filtrering"
"54","MST1051","RasmusBillegrav","LivII","MSTFYN","2020-08-10","FYN6300043",54.9979444444444,10.1516333333333,35.6,1,1450,"JA","8",NA,"21.12","JA","JA","fytoplanton","ja","ja",NA,"5459.8767","54DEGR_59MINUT_52.6SECONDS","1009.588","010DEGR_09MINUT_5.88SECONDS","09:35","10:25","NA","straks efter filtrering"
"55","MST1017","janeRobertsen","LivII","MSToeST","2020-08-13","VEJ0006870",55.6749722222222,10.0834583333333,19.6,1,1400,"ja","4",NA,"19.395","JA","JA","fytoplanton","ja","ja",NA,"5540.4984","55DEGR_40MINUT_29.9SECONDS","1005.45","010DEGR_05MINUT_0.45SECONDS","11:37","11:50","NA","straks efter filtrering"
"56","MST1047","janeRobertsen","LivII","MSToeST","2020-08-13","VEJ0006870",55.6749722222222,10.0834583333333,19.6,1,1350,"ja","4",NA,"19.395","JA","JA","fytoplanton","ja","ja",NA,"5540.4984","55DEGR_40MINUT_29.9SECONDS","1005.45","010DEGR_05MINUT_0.45SECONDS","11:37","12:10","NA","straks efter filtrering"
"57","MST1049","janeRobertsen","LivII","MSToeST","2020-08-13","VEJ0006870",55.6749722222222,10.0834583333333,19.6,1,1400,"ja","4",NA,"19.395","JA","JA","fytoplanton","ja","ja",NA,"5540.4984","55DEGR_40MINUT_29.9SECONDS","1005.45","010DEGR_05MINUT_0.45SECONDS","11:37","12:29","NA","straks efter filtrering"
"58","MST1016","RasmusBillegrav","LivII","MSToeST","2020-08-18","ARH170006",56.1551,10.31935,16.6,1,1200,"ja","3.8",NA,"21.6",NA,"JA","fytoplanton","ja","ja",NA,"5609.306","56DEGR_09MINUT_18.36SECONDS","1019.0966","010DEGR_19MINUT_9.66SECONDS","06:30","06:48","NA","straks efter filtrering"
"59","MST1019","RasmusBillegrav","LivII","MSToeST","2020-08-18","ARH170006",56.1551,10.31935,16.6,1,1200,"ja","3.8",NA,"21.6",NA,"JA","fytoplanton","ja","ja",NA,"5609.306","56DEGR_09MINUT_18.36SECONDS","1019.0966","010DEGR_19MINUT_9.66SECONDS","06:30","07:04","NA","straks efter filtrering"
"60","MST1050","RasmusBillegrav","LivII","MSToeST","2020-08-18","ARH170006",56.1551,10.31935,16.6,1,1100,"ja","3.8",NA,"21.6",NA,"JA","fytoplanton","ja","ja",NA,"5609.306","56DEGR_09MINUT_18.36SECONDS","1019.0966","010DEGR_19MINUT_9.66SECONDS","06:30","07:21","NA","straks efter filtrering"
"61","MST462","JOCTH","Musling","MSTNJL","2020-03-09","Laesoesyd",57.10855,11.1192944444444,4.7,3.7,1800,"nej",NA,"2020-03-10","5.28","ja","ja","Bundfauna","ja","ja",NA,"57 06,513","57DEGR_06MINUT_30.78SECONDS","11 07,946","011DEGR_07MINUT_9.46SECONDS","08:50","09:10","09:12",NA
"62","MST480","JOCTH","Musling","MSTNJL","2020-03-09","Laesoesyd",57.10855,11.1192944444444,4.7,3.7,1600,"nej",NA,"2020-03-10","5.28","ja","ja","Bundfauna","ja","ja",NA,"57 06,513","57DEGR_06MINUT_30.78SECONDS","11 07,946","011DEGR_07MINUT_9.46SECONDS","08:50","09:25","09:25",NA
"63","MST514","JOCTH","Musling","MSTNJL","2020-03-09","Laesoesyd",57.10855,11.1192944444444,4.7,3.7,1700,"nej",NA,"2020-03-10","5.28","ja","ja","Bundfauna","ja","ja",NA,"57 06,513","57DEGR_06MINUT_30.78SECONDS","11 07,946","011DEGR_07MINUT_9.46SECONDS","08:50","09:50","09:52",NA
"64","MST534","GEPED","Musling","MSTNJL","2020-05-12","NOR5503",56.6908333333333,10.0394444444444,27,1,1550,"ja","9-12-15-17","2020-05-15","11.7","ja","ja","Plankton","ja","ja",NA,"56 30,746","56DEGR_30MINUT_44.76SECONDS","009 58,450","009DEGR_58MINUT_4.5SECONDS","10:32","10:52","10:56",NA
"65","MST500","GEPED","Musling","MSTNJL","2020-05-12","NOR5503",56.6908333333333,10.0394444444444,27,1,1250,"ja","9-12-15-17","2020-05-15","11.7","ja","ja","Plankton","ja","ja",NA,"56 30,746","56DEGR_30MINUT_44.76SECONDS","009 58,450","009DEGR_58MINUT_4.5SECONDS","10:32","11:11","11:14",NA
"66","MST424","GEPED","Musling","MSTNJL","2020-05-12","NOR5503",56.6908333333333,10.0394444444444,27,1,1650,"ja","9-12-15-17","2020-05-15","11.7","ja","ja","Plankton","ja","ja",NA,"56 30,746","56DEGR_30MINUT_44.76SECONDS","009 58,450","009DEGR_58MINUT_4.5SECONDS","10:32","11:28","11:32",NA
"67","MST526","JOCTH","Musling","MSTNJL","2020-05-13","NOR409",56.8564833333333,10.7848333333333,14,1,1400,"ja","5,0 - 11,0","2020-05-15","9.6","ja","ja","Plankton","ja","ja",NA,"56 51,389","56DEGR_51MINUT_23.34SECONDS","10 47,540","010DEGR_47MINUT_5.4SECONDS","09:05","09:42","09:45",NA
