Well	Well Name	Well Type	Replicate	Threshold (dRn)	Ct (dRn)	Quantity (copies)	RSq (dRn)	Slope (dRn)	
H2	08_std1ENTC_5uL_  Qty or ID	NTC	8	0.2863	No Ct	No Ct	0.969	-4.261	
H3	08_std1ENTC_5uL_  Qty or ID	NTC	8	0.2863	No Ct	No Ct	0.969	-4.261	
A4	09_MST221_5uL_  Qty or ID	Unknown	9	0.2863	No Ct	No Ct	0.969	-4.261	
A5	09_MST221_5uL_  Qty or ID	Unknown	9	0.2863	No Ct	No Ct	0.969	-4.261	
A6	09_MST221_5uL_  Qty or ID	Unknown	9	0.2863	No Ct	No Ct	0.969	-4.261	
B4	10_MST227_5uL_  Qty or ID	Unknown	10	0.2863	No Ct	No Ct	0.969	-4.261	
B5	10_MST227_5uL_  Qty or ID	Unknown	10	0.2863	No Ct	No Ct	0.969	-4.261	
B6	10_MST227_5uL_  Qty or ID	Unknown	10	0.2863	No Ct	No Ct	0.969	-4.261	
C4	11_MST230_5uL_  Qty or ID	Unknown	11	0.2863	No Ct	No Ct	0.969	-4.261	
C5	11_MST230_5uL_  Qty or ID	Unknown	11	0.2863	No Ct	No Ct	0.969	-4.261	
C6	11_MST230_5uL_  Qty or ID	Unknown	11	0.2863	No Ct	No Ct	0.969	-4.261	
D4	12_MST231_5uL_  Qty or ID	Unknown	12	0.2863	No Ct	No Ct	0.969	-4.261	
D5	12_MST231_5uL_  Qty or ID	Unknown	12	0.2863	No Ct	No Ct	0.969	-4.261	
D6	12_MST231_5uL_  Qty or ID	Unknown	12	0.2863	No Ct	No Ct	0.969	-4.261	
E4	13_MST244_5uL_  Qty or ID	Unknown	13	0.2863	No Ct	No Ct	0.969	-4.261	
E5	13_MST244_5uL_  Qty or ID	Unknown	13	0.2863	No Ct	No Ct	0.969	-4.261	
E6	13_MST244_5uL_  Qty or ID	Unknown	13	0.2863	No Ct	No Ct	0.969	-4.261	
F4	14_MST257_5uL_  Qty or ID	Unknown	14	0.2863	No Ct	No Ct	0.969	-4.261	
F5	14_MST257_5uL_  Qty or ID	Unknown	14	0.2863	No Ct	No Ct	0.969	-4.261	
F6	14_MST257_5uL_  Qty or ID	Unknown	14	0.2863	No Ct	No Ct	0.969	-4.261	
G4	15_MST280_5uL_  Qty or ID	Unknown	15	0.2863	No Ct	No Ct	0.969	-4.261	
G5	15_MST280_5uL_  Qty or ID	Unknown	15	0.2863	No Ct	No Ct	0.969	-4.261	
G6	15_MST280_5uL_  Qty or ID	Unknown	15	0.2863	No Ct	No Ct	0.969	-4.261	
H4	16_MST047_5uL_  Qty or ID	Unknown	16	0.2863	No Ct	No Ct	0.969	-4.261	
H5	16_MST047_5uL_  Qty or ID	Unknown	16	0.2863	No Ct	No Ct	0.969	-4.261	
H6	16_MST047_5uL_  Qty or ID	Unknown	16	0.2863	No Ct	No Ct	0.969	-4.261	
A7	17_MST059_5uL_  Qty or ID	Unknown	17	0.2863	No Ct	No Ct	0.969	-4.261	
A8	17_MST059_5uL_  Qty or ID	Unknown	17	0.2863	No Ct	No Ct	0.969	-4.261	
A9	17_MST059_5uL_  Qty or ID	Unknown	17	0.2863	No Ct	No Ct	0.969	-4.261	
B7	18_MST061_5uL_  Qty or ID	Unknown	18	0.2863	No Ct	No Ct	0.969	-4.261	
B8	18_MST061_5uL_  Qty or ID	Unknown	18	0.2863	No Ct	No Ct	0.969	-4.261	
B9	18_MST061_5uL_  Qty or ID	Unknown	18	0.2863	No Ct	No Ct	0.969	-4.261	
C7	19_MST063_5uL_  Qty or ID	Unknown	19	0.2863	No Ct	No Ct	0.969	-4.261	
C8	19_MST063_5uL_  Qty or ID	Unknown	19	0.2863	No Ct	No Ct	0.969	-4.261	
C9	19_MST063_5uL_  Qty or ID	Unknown	19	0.2863	No Ct	No Ct	0.969	-4.261	
D7	20_MST070_5uL_  Qty or ID	Unknown	20	0.2863	No Ct	No Ct	0.969	-4.261	
D8	20_MST070_5uL_  Qty or ID	Unknown	20	0.2863	No Ct	No Ct	0.969	-4.261	
D9	20_MST070_5uL_  Qty or ID	Unknown	20	0.2863	No Ct	No Ct	0.969	-4.261	
E7	21_MST092_5uL_  Qty or ID	Unknown	21	0.2863	No Ct	No Ct	0.969	-4.261	
E8	21_MST092_5uL_  Qty or ID	Unknown	21	0.2863	No Ct	No Ct	0.969	-4.261	
E9	21_MST092_5uL_  Qty or ID	Unknown	21	0.2863	No Ct	No Ct	0.969	-4.261	
F7	22_MST100_5uL_  Qty or ID	Unknown	22	0.2863	No Ct	No Ct	0.969	-4.261	
F8	22_MST100_5uL_  Qty or ID	Unknown	22	0.2863	No Ct	No Ct	0.969	-4.261	
F9	22_MST100_5uL_  Qty or ID	Unknown	22	0.2863	No Ct	No Ct	0.969	-4.261	
